Date,SMALL LoBM LoOP,ME1 BM1 OP2,ME1 BM1 OP3,ME1 BM1 HiOP,ME1 BM2 LoOP,ME1 BM2 OP2,ME1 BM2 OP3,ME1 BM2 HiOP,ME1 BM3 LoOP,ME1 BM3 OP2,ME1 BM3 OP3,ME1 BM3 HiOP,ME1 BM4 LoOP,ME1 BM4 OP2,ME1 BM4 OP3,SMALL HiBM HiOP,BIG LoBM LoOP,ME2 BM1 OP2,ME2 BM1 OP3,ME2 BM1 HiOP,ME2 BM2 LoOP,ME2 BM2 OP2,ME2 BM2 OP3,ME2 BM2 HiOP,ME2 BM3 LoOP,ME2 BM3 OP2,ME2 BM3 OP3,ME2 BM3 HiOP,ME2 BM4 LoOP,ME2 BM4 OP2,ME2 BM4 OP3,BIG HiBM HiOP
199105    ,-7.55    ,-3.45    ,-0.47    ,-2.21    ,-4.04    ,-1.44    ,-2.23    ,-2.39    ,-0.96    ,-2.22    ,-2.13    ,-0.48    ,-1.63    ,-2.17    ,-2.92    ,-1.32    ,-1.64    ,-1.02    ,-3.22    ,-2.29    ,-1.03    ,-0.99    ,-1.43    ,-0.49    ,-2.63    ,-1.26    ,-1.98    ,-0.28    ,-1.59    ,-2.75    ,-2.67    ,-3.23
199106    ,-4.73    ,-5.30    ,-8.44    ,-8.63    ,-7.76   ,-11.79    ,-6.72    ,-5.66    ,-5.23    ,-6.36    ,-5.14    ,-1.03    ,-4.40    ,-5.87    ,-1.02    ,-1.81   ,-11.31    ,-8.04    ,-5.93    ,-9.51    ,-6.20    ,-5.58    ,-9.22    ,-7.57   ,-10.19    ,-5.25    ,-6.37    ,-9.53    ,-7.00    ,-3.76    ,-1.22    ,-3.51
199107     ,0.33    ,-1.96    ,-2.53    ,-1.40    ,-0.76     ,1.65    ,-1.51     ,0.57    ,-1.75    ,-1.81    ,-1.93    ,-1.16     ,2.55    ,-2.09    ,-0.77    ,-1.63     ,0.43     ,0.92     ,0.40     ,1.05     ,2.85     ,1.88     ,2.61     ,3.61     ,0.47     ,1.02     ,2.29     ,6.20     ,1.65     ,2.34     ,0.89     ,7.07
199108   ,-11.79   ,-10.73   ,-10.13   ,-11.57   ,-11.25   ,-11.41   ,-11.86   ,-12.06   ,-12.67   ,-11.14    ,-9.48   ,-12.96   ,-10.29   ,-12.73   ,-10.63    ,-8.80    ,-8.23    ,-9.28    ,-9.29    ,-5.14    ,-5.53    ,-8.27    ,-3.64    ,-4.46    ,-2.95    ,-5.29    ,-8.02    ,-6.66    ,-7.00    ,-8.39    ,-7.29    ,-8.32
199109    ,10.71    ,13.06     ,6.51     ,9.38    ,12.05    ,12.85    ,11.86    ,12.35    ,10.86    ,10.57     ,9.24     ,9.04    ,12.84    ,11.67    ,10.31     ,6.35     ,7.03    ,14.73    ,12.67     ,7.41    ,11.47    ,12.47     ,6.82     ,8.55    ,10.27     ,8.73    ,10.25     ,9.35    ,11.63    ,11.38     ,6.56     ,7.13
199110    ,10.55    ,13.28     ,4.29     ,6.92     ,8.66     ,7.10    ,11.18     ,2.69     ,5.57     ,4.13     ,4.02     ,5.55     ,3.04     ,4.96     ,7.17     ,5.36     ,8.35     ,4.11     ,5.47     ,5.49     ,9.05     ,5.74     ,5.36     ,2.54     ,3.81     ,2.98     ,2.54     ,2.20     ,5.48     ,2.25     ,4.44     ,1.86
199111   ,-10.44    ,-8.77    ,-7.50   ,-10.54   ,-12.77   ,-10.05   ,-11.58    ,-9.49   ,-10.59    ,-9.61    ,-8.89   ,-11.42   ,-10.19   ,-11.63   ,-11.19    ,-6.37    ,-7.25   ,-14.13   ,-12.94    ,-8.27    ,-7.08    ,-8.51    ,-6.68    ,-5.75    ,-6.46    ,-4.74    ,-7.83    ,-5.94   ,-10.87    ,-7.37    ,-9.78    ,-8.95
199112     ,6.08     ,8.73     ,4.77     ,3.03     ,4.54     ,5.11     ,4.63     ,3.81     ,3.93     ,2.32     ,3.64     ,1.24     ,4.44     ,4.11     ,4.16     ,4.44     ,2.09     ,7.13     ,4.61     ,3.35     ,2.15     ,2.40     ,2.22     ,3.55     ,0.82     ,1.67     ,4.07     ,5.22     ,3.67     ,4.30     ,4.63     ,2.77
199201    ,-5.45    ,-4.42   ,-11.86    ,-5.14    ,-7.09    ,-6.02    ,-6.83    ,-7.81    ,-8.17    ,-5.95    ,-7.56    ,-5.66    ,-6.60    ,-3.05    ,-6.24    ,-5.25    ,-7.05    ,-8.26    ,-2.98    ,-5.22    ,-9.31    ,-5.46    ,-7.76    ,-4.71    ,-6.86    ,-4.62    ,-3.44    ,-5.48    ,-4.02    ,-3.04    ,-3.15    ,-0.87
199202    ,-5.96    ,-5.62    ,-3.00    ,-2.74    ,-3.51    ,-6.21    ,-5.18    ,-3.73    ,-4.39    ,-4.13    ,-4.29    ,-1.75    ,-3.94    ,-4.06    ,-4.85    ,-5.56    ,-9.29    ,-7.02    ,-5.23    ,-6.36    ,-7.08    ,-8.88    ,-7.56    ,-6.10    ,-9.49    ,-7.73    ,-4.70    ,-6.26    ,-5.55    ,-6.01    ,-8.80    ,-9.30
199203   ,-14.44   ,-19.20    ,-9.39   ,-13.69   ,-12.04   ,-10.74   ,-12.01    ,-8.45   ,-11.01   ,-11.03   ,-12.81   ,-10.68   ,-12.75   ,-12.35    ,-9.55   ,-11.30   ,-13.22   ,-16.34   ,-12.35   ,-11.75   ,-12.77   ,-10.18   ,-11.85    ,-9.55   ,-11.53    ,-9.04   ,-10.12    ,-9.02   ,-10.73   ,-10.03   ,-10.41    ,-9.58
199204   ,-15.25   ,-10.11   ,-12.83   ,-10.01   ,-13.27    ,-9.76   ,-13.04    ,-7.00   ,-11.58    ,-9.28   ,-10.40    ,-8.08   ,-10.21    ,-5.58    ,-9.86   ,-11.68   ,-14.71    ,-9.95    ,-8.35    ,-6.52   ,-13.60   ,-13.42    ,-7.41    ,-4.77   ,-11.79   ,-10.85    ,-7.54    ,-3.39    ,-5.57    ,-2.63     ,1.95     ,1.72
199205    ,18.49    ,14.36    ,14.37    ,13.20    ,15.52    ,15.71    ,17.46    ,10.78    ,14.84    ,11.53    ,14.09    ,12.55    ,13.27    ,10.20    ,13.58    ,10.75     ,9.79    ,12.98    ,11.78     ,8.23     ,9.26     ,8.08     ,7.63     ,9.36    ,12.24     ,9.22     ,7.76     ,7.08     ,8.64     ,7.36     ,6.44     ,7.03
199206   ,-10.65   ,-14.37    ,-7.19    ,-9.96   ,-10.57    ,-8.66    ,-8.95    ,-6.53    ,-7.38    ,-7.76    ,-7.58    ,-6.84    ,-7.80    ,-9.53    ,-7.34    ,-5.46   ,-13.02   ,-11.21   ,-10.56    ,-7.02   ,-13.40    ,-9.87   ,-10.57    ,-8.01    ,-9.14    ,-7.99    ,-7.36    ,-5.38    ,-9.39    ,-8.25    ,-6.21    ,-7.51
199207    ,-8.23    ,-6.81   ,-10.22   ,-10.24    ,-7.72    ,-8.21    ,-6.96    ,-9.83    ,-8.66    ,-6.63    ,-6.57    ,-9.59    ,-9.33    ,-6.60    ,-6.15    ,-8.36     ,2.11    ,10.49    ,-2.07    ,-5.57    ,-0.42    ,-4.03    ,-5.41    ,-2.50    ,-3.52    ,-4.19    ,-2.82    ,-4.54    ,-4.14    ,-2.99    ,-4.48    ,-5.50
199208    ,15.94    ,13.44    ,13.71    ,12.69    ,12.57     ,8.03    ,11.59    ,13.43    ,10.67     ,9.91    ,13.54     ,8.76    ,13.34     ,9.33     ,7.38    ,11.56    ,25.01    ,29.27    ,22.05    ,17.39    ,22.72    ,16.53    ,13.18    ,12.38    ,19.51    ,12.73    ,14.55    ,12.82    ,15.73    ,18.63     ,8.13     ,8.77
199209     ,2.60     ,2.25     ,4.19    ,-1.51     ,2.12     ,5.90     ,2.36    ,-1.29     ,2.02     ,0.93    ,-2.09    ,-0.95    ,-1.44    ,-0.14    ,-0.52     ,2.65     ,0.83    ,-6.84    ,-3.83    ,-4.32    ,-1.32    ,-1.66    ,-2.58    ,-2.83    ,-3.29    ,-0.42    ,-0.58    ,-3.62    ,-3.41     ,0.22    ,-3.13    ,-4.85
199210    ,-9.93    ,-6.31    ,-9.29    ,-7.02    ,-7.31    ,-6.02    ,-3.75    ,-6.39    ,-5.30    ,-5.83    ,-4.83    ,-5.46    ,-7.60    ,-6.93    ,-6.70    ,-5.31    ,-5.61    ,-4.95    ,-2.37    ,-7.15    ,-7.27    ,-3.69    ,-5.91    ,-5.23    ,-8.13    ,-4.60    ,-4.97    ,-5.18    ,-5.17    ,-5.39    ,-2.86    ,-2.17
199211    ,-0.73     ,0.77    ,-0.04    ,-1.05    ,-1.09    ,-1.27    ,-1.11    ,-0.02    ,-0.59    ,-1.79     ,0.06    ,-0.19    ,-1.26    ,-0.89    ,-3.07     ,0.89     ,1.47     ,9.90     ,1.76     ,3.90     ,2.75     ,3.24     ,1.90     ,0.68     ,0.46     ,0.48     ,1.29     ,1.96     ,0.98     ,0.72     ,1.80     ,3.35
199212    ,-0.91    ,-6.80     ,0.83     ,0.41    ,-2.87     ,0.06     ,2.79     ,2.18     ,0.15     ,3.31     ,2.06     ,1.62     ,4.47     ,1.86     ,1.78     ,6.60    ,-2.37    ,-0.82    ,-1.08    ,-1.66    ,-4.08    ,-1.81    ,-0.94    ,-0.04    ,-2.57    ,-1.09    ,-0.53    ,-1.51    ,-2.64    ,-0.43     ,2.83     ,0.56
199301    ,-2.06    ,-2.42    ,-1.91    ,-3.68    ,-2.35    ,-1.84    ,-2.57    ,-2.78    ,-2.64    ,-2.64    ,-1.72    ,-1.68    ,-1.70    ,-2.25    ,-1.96    ,-0.16    ,-0.47     ,0.63    ,-0.52    ,-1.52    ,-1.66    ,-2.48     ,0.20     ,0.47    ,-1.87    ,-0.28    ,-0.08     ,0.58    ,-0.78     ,0.50    ,-2.55    ,-0.85
199302     ,6.13     ,6.05     ,4.87     ,6.56     ,4.84     ,6.64     ,6.19     ,5.63     ,4.74     ,6.53     ,5.16     ,5.15    ,10.39     ,7.12     ,6.52     ,8.37     ,5.75     ,6.49     ,3.79     ,3.35     ,3.16     ,5.01     ,2.73     ,7.86     ,4.85     ,4.01     ,4.43     ,4.12     ,2.69     ,5.15     ,0.48     ,2.12
199303    ,15.25    ,17.84    ,14.26    ,17.41    ,14.56    ,15.46    ,16.70    ,18.76    ,15.49    ,15.62    ,16.47    ,15.41    ,20.65    ,19.46    ,16.04    ,11.22    ,14.76    ,10.09    ,13.90    ,16.46    ,14.08    ,10.91    ,14.61    ,23.52    ,17.25    ,14.59    ,15.73    ,15.85    ,20.37    ,21.34    ,17.83    ,17.64
199304    ,19.01    ,14.69    ,18.32    ,16.99    ,20.22    ,17.57    ,14.70    ,19.02    ,19.44    ,16.59    ,17.58    ,16.66    ,22.86    ,19.27    ,22.19    ,16.94    ,14.08    ,11.91    ,14.74    ,15.93    ,18.57    ,17.24    ,19.16    ,15.11    ,18.41    ,18.01    ,19.10    ,17.26    ,24.74    ,19.62    ,20.03    ,16.28
199305    ,17.32    ,14.03    ,14.01    ,14.92    ,21.29    ,15.79    ,15.66    ,14.30    ,20.71    ,15.90    ,15.72    ,18.33    ,18.63    ,14.61    ,16.83    ,14.21     ,6.53    ,10.32     ,7.64     ,1.76     ,5.15     ,3.88     ,6.52     ,1.40     ,6.26     ,5.17     ,3.45     ,1.21     ,4.52     ,3.96     ,0.96    ,-2.47
199306    ,-3.49    ,-5.36    ,-5.58    ,-5.90    ,-7.29    ,-6.78    ,-7.41    ,-7.13    ,-6.38    ,-5.66    ,-7.47    ,-7.81    ,-8.74    ,-6.43    ,-5.82    ,-7.41    ,-1.86     ,0.02    ,-1.26    ,-3.69    ,-0.40    ,-3.55    ,-5.04    ,-5.83    ,-5.03    ,-4.56    ,-4.78    ,-5.04    ,-4.86    ,-4.56    ,-4.27    ,-6.91
199307    ,-1.32     ,2.17     ,5.33     ,2.05     ,1.11     ,4.50     ,2.85     ,3.83     ,3.63     ,2.44     ,2.23     ,3.18     ,2.84     ,2.73     ,3.23     ,2.03    ,10.91     ,9.50     ,7.40     ,6.12     ,4.97     ,7.25     ,6.38     ,6.38     ,6.55     ,5.80     ,7.62     ,7.53     ,6.27     ,8.25     ,8.08     ,9.94
199308     ,1.33     ,2.34     ,2.11     ,3.48     ,1.47     ,3.30     ,2.27     ,1.31    ,-0.13     ,2.81     ,2.80     ,2.53     ,1.40     ,1.08     ,1.98    ,-0.75     ,1.81     ,1.79     ,3.79     ,2.19     ,2.76     ,0.20     ,2.34     ,2.51     ,2.97     ,4.73     ,2.99     ,1.94     ,4.35     ,3.05     ,3.04     ,1.64
199309    ,-8.92    ,-7.27    ,-2.64    ,-1.14    ,-7.74    ,-4.36    ,-1.93    ,-2.53    ,-7.36    ,-4.88    ,-2.31    ,-4.75    ,-8.53    ,-3.75    ,-2.76    ,-4.60    ,-7.60    ,-7.09    ,-2.83    ,-2.12    ,-5.03    ,-5.83    ,-3.08    ,-7.56    ,-8.03    ,-5.63    ,-3.85    ,-2.57    ,-7.51    ,-4.09    ,-2.08    ,-3.70
199310   ,-11.94    ,-9.51    ,-8.49    ,-9.15   ,-12.59    ,-8.55    ,-8.79    ,-8.90   ,-10.96    ,-9.74    ,-7.39   ,-10.74    ,-9.17    ,-9.56    ,-7.87    ,-7.09    ,-3.84     ,2.63    ,-5.72    ,-4.69    ,-3.20     ,0.95    ,-4.12    ,-1.41    ,-3.62    ,-1.32    ,-3.26    ,-0.51    ,-3.09    ,-4.15     ,0.77     ,0.47
199311   ,-21.16   ,-18.60   ,-16.58   ,-14.45   ,-20.39   ,-18.42   ,-17.46   ,-16.16   ,-21.09   ,-18.95   ,-15.99   ,-17.17   ,-18.12   ,-17.38   ,-17.72   ,-16.52   ,-18.54   ,-21.12   ,-15.60   ,-12.77   ,-13.20   ,-17.71   ,-14.99   ,-12.33   ,-19.05   ,-18.12   ,-13.52   ,-12.27   ,-18.90   ,-17.42   ,-12.80   ,-13.71
199312     ,2.42     ,2.97    ,-1.41    ,-1.23     ,3.70     ,4.54     ,1.19     ,0.88     ,6.62     ,4.34     ,0.78     ,0.24     ,2.61     ,1.59     ,2.69     ,0.98     ,0.11     ,2.41     ,1.28     ,0.38     ,1.53     ,2.54     ,1.33     ,0.89     ,1.50     ,3.62     ,2.94     ,3.26     ,3.23     ,1.00     ,5.63     ,8.66
199401    ,21.81    ,18.83    ,17.34    ,16.78    ,20.01    ,18.83    ,15.66    ,18.04    ,21.86    ,17.01    ,17.53    ,19.24    ,23.53    ,19.87    ,19.09    ,15.64    ,20.34    ,17.66    ,12.33    ,13.66    ,16.28    ,11.72    ,14.34    ,19.50    ,24.04    ,19.70    ,14.19    ,15.08    ,26.88    ,21.10    ,15.00    ,17.70
199402     ,2.70     ,1.59     ,5.35     ,4.97     ,4.31     ,4.97     ,6.79     ,3.74     ,4.35     ,5.32     ,4.69     ,5.93     ,6.19     ,6.84     ,5.26    ,10.26     ,3.82     ,2.43     ,3.15     ,2.38     ,2.05     ,3.39     ,2.01     ,3.30     ,3.95     ,4.33     ,4.24     ,7.57     ,5.32     ,5.01     ,6.85     ,5.58
199403     ,5.85     ,3.06     ,0.97     ,0.87     ,4.14     ,2.88     ,3.24     ,1.68     ,6.82     ,3.79     ,2.05     ,0.75     ,5.56     ,4.96     ,3.19     ,5.40    ,-3.89    ,-5.18    ,-1.67    ,-3.26    ,-0.66    ,-3.90    ,-1.26    ,-3.73    ,-1.91    ,-0.47    ,-0.98    ,-1.08    ,-0.97    ,-1.50    ,-0.56    ,-2.11
199404     ,7.92     ,7.16     ,1.63     ,5.29     ,8.17     ,3.68     ,3.08     ,4.64     ,6.76     ,6.68     ,6.94     ,4.95     ,5.50     ,6.45     ,6.44     ,5.86     ,5.97     ,4.67     ,1.43     ,2.85     ,4.95     ,5.16     ,4.35     ,1.46     ,4.35     ,3.47     ,2.50     ,2.18     ,2.55     ,4.48     ,2.98     ,2.98
199405     ,1.95    ,-0.37    ,-0.83    ,-2.88     ,0.76     ,0.44    ,-0.50    ,-1.59     ,0.14     ,0.90     ,0.19    ,-0.47     ,1.83     ,0.91     ,0.38     ,4.62     ,1.87     ,1.31     ,1.20    ,-0.66     ,1.78     ,2.16     ,0.01    ,-1.93     ,5.23     ,3.40     ,1.39     ,3.25     ,4.46     ,3.34     ,3.10     ,4.93
199406    ,10.35     ,7.52     ,9.99     ,7.05     ,8.38     ,9.53     ,9.58     ,9.11    ,11.53    ,10.34    ,12.12    ,11.76    ,15.42    ,15.54    ,12.74    ,13.10     ,3.68     ,3.03     ,3.93     ,5.31     ,4.61     ,5.77     ,5.49     ,6.30     ,5.89     ,7.30     ,7.63     ,6.90     ,7.41     ,5.83     ,9.22     ,5.64
199407    ,-4.09    ,-2.17    ,-4.03    ,-2.54    ,-4.74    ,-4.72    ,-1.73    ,-3.19    ,-3.57    ,-4.36    ,-1.66    ,-1.86    ,-4.89    ,-1.64    ,-2.66    ,-3.45    ,-4.25    ,-4.22    ,-2.72    ,-3.61    ,-6.61    ,-2.44    ,-3.83    ,-2.58    ,-4.75    ,-3.23    ,-2.85    ,-2.90    ,-5.49    ,-4.67    ,-5.97    ,-4.24
199408    ,-2.42    ,-3.46    ,-2.62    ,-1.90     ,0.90    ,-1.13    ,-0.86    ,-1.93    ,-1.30    ,-1.73    ,-1.55    ,-2.10    ,-3.29    ,-3.22    ,-1.20    ,-0.05    ,-0.49    ,-1.47    ,-0.68     ,3.01     ,2.64    ,-0.91     ,1.59    ,-0.47     ,0.53    ,-7.11     ,0.54     ,1.38     ,0.07     ,0.50     ,2.42     ,2.33
199409    ,-7.08    ,-4.00    ,-3.48    ,-4.10    ,-7.36    ,-3.79    ,-4.29    ,-3.14    ,-6.56    ,-4.42    ,-3.42    ,-2.91    ,-5.58    ,-3.45    ,-2.87    ,-4.52    ,-4.49    ,-3.28    ,-2.39    ,-3.57    ,-2.26    ,-3.05    ,-3.05    ,-1.01    ,-2.84    ,-1.61    ,-1.70    ,-0.83    ,-3.18    ,-1.65    ,-4.30    ,-0.64
199410     ,6.50     ,3.17     ,1.97     ,0.22     ,6.79     ,3.87     ,0.33    ,-0.30     ,5.13     ,2.21     ,0.76    ,-0.28     ,3.07     ,2.98     ,2.25     ,3.05     ,3.34     ,3.08    ,-0.74     ,1.78     ,3.79     ,1.33     ,2.26     ,0.63     ,4.35     ,1.90     ,2.99     ,3.14     ,2.86     ,3.29     ,5.59     ,6.00
199411    ,-9.28    ,-6.60    ,-6.93    ,-8.88    ,-7.94    ,-6.69    ,-8.05    ,-7.39    ,-9.77    ,-8.39    ,-7.12    ,-7.67    ,-9.37    ,-7.73    ,-6.17    ,-6.24    ,-5.99    ,-6.92    ,-4.82    ,-5.75    ,-6.22    ,-4.10    ,-6.55    ,-4.65    ,-8.93    ,-6.52    ,-5.66    ,-6.46    ,-7.32    ,-4.74    ,-5.05    ,-4.89
199412     ,4.55     ,2.17     ,1.71     ,1.52     ,3.97     ,2.78     ,1.48     ,0.84     ,4.08     ,3.03     ,1.10     ,2.20     ,3.78     ,1.90     ,3.28     ,2.57     ,4.00     ,4.66    ,-0.61     ,1.94     ,2.22     ,1.55     ,1.53     ,0.15     ,3.02     ,2.10     ,0.78     ,1.83     ,3.10     ,0.40     ,0.53     ,2.53
199501    ,-9.32    ,-6.51    ,-1.38    ,-2.13   ,-11.17    ,-6.68    ,-0.89    ,-0.67    ,-7.94    ,-7.64    ,-2.74     ,1.60    ,-8.60    ,-8.01    ,-5.94    ,-4.85    ,-2.17    ,-3.26    ,-5.57    ,-8.73    ,-7.30    ,-6.25    ,-9.00    ,-5.75    ,-6.85    ,-4.92    ,-5.58    ,-7.49    ,-6.85    ,-8.05    ,-9.46   ,-10.21
199502    ,-3.16    ,-4.43    ,-6.60    ,-7.00    ,-4.97    ,-6.05    ,-7.99    ,-7.24    ,-6.99    ,-4.14    ,-6.28    ,-9.02    ,-7.02    ,-3.78    ,-4.23    ,-4.32    ,-3.61    ,-5.99    ,-5.85    ,-5.06    ,-7.42    ,-5.07    ,-3.57    ,-2.19    ,-8.61    ,-6.81    ,-5.15    ,-4.48    ,-8.35    ,-5.26    ,-2.71    ,-1.96
199503     ,5.55     ,6.73     ,6.64     ,3.89     ,6.27     ,5.18     ,5.72     ,5.75     ,8.43     ,7.19     ,6.10     ,4.70     ,7.42     ,7.08     ,6.87     ,9.97     ,7.20     ,4.38     ,9.59    ,13.58     ,8.24     ,7.76    ,10.71    ,12.10     ,6.32     ,5.79    ,11.32     ,9.93     ,5.99     ,9.13    ,13.43    ,11.05
199504     ,3.81     ,4.89    ,-0.50     ,0.84     ,3.44     ,2.01     ,2.41     ,1.35     ,2.36     ,1.37     ,1.30     ,1.22     ,1.64     ,1.91     ,2.84     ,1.19     ,6.64     ,9.12     ,2.90     ,3.34     ,5.44     ,3.92     ,2.34     ,3.99     ,8.19     ,8.01     ,3.84     ,1.76     ,4.99     ,1.01     ,0.66     ,1.72
199505   ,-13.44    ,-9.97    ,-7.08    ,-7.93   ,-12.44    ,-9.24    ,-9.26    ,-6.97   ,-12.08    ,-9.05    ,-7.78    ,-8.47   ,-10.60    ,-5.49    ,-9.05    ,-8.28    ,-4.57    ,-5.05    ,-5.93    ,-6.21    ,-8.04    ,-5.10    ,-6.09    ,-4.68    ,-9.50    ,-6.03    ,-4.81    ,-5.77   ,-11.09    ,-7.77    ,-6.16    ,-5.59
199506    ,-8.92    ,-4.72    ,-4.58    ,-5.55    ,-7.23    ,-5.54    ,-5.59    ,-4.12    ,-5.86    ,-4.24    ,-4.36    ,-3.99    ,-6.80    ,-5.00    ,-4.23    ,-3.59   ,-11.43    ,-8.41    ,-2.79    ,-0.39    ,-5.56    ,-6.52    ,-2.15    ,-1.07    ,-7.09    ,-5.50    ,-2.34    ,-1.05    ,-7.48    ,-3.26     ,1.34    ,-2.62
199507    ,12.16     ,9.66     ,5.62     ,4.98    ,10.26     ,7.83     ,6.92     ,3.27    ,11.74     ,7.65     ,3.64     ,2.89     ,6.48     ,3.91    ,-0.12     ,3.21    ,11.18     ,7.53     ,7.72     ,2.99    ,11.22     ,9.02     ,5.38     ,3.62    ,10.03     ,8.28     ,4.00     ,3.30     ,9.07     ,6.04     ,3.52     ,6.82
199508     ,3.80     ,1.55    ,-0.41    ,-0.32     ,2.13     ,2.19     ,0.25    ,-1.64     ,3.75     ,0.42    ,-1.44    ,-3.56    ,-0.56    ,-0.98    ,-1.46    ,-2.89    ,-6.85    ,-6.12    ,-0.68    ,-0.20    ,-3.47    ,-4.73    ,-1.31    ,-2.55    ,-1.97    ,-2.30    ,-2.95    ,-2.04    ,-2.22    ,-1.73    ,-4.03     ,0.25
