Date,SMALL LoOP,ME1 OP2,ME1 OP3,ME1 OP4,SMALL HiOP,ME2 OP1,ME2 OP2,ME2 OP3,ME2 OP4,ME2 OP5,ME3 OP1,ME3 OP2,ME3 OP3,ME3 OP4,ME3 OP5,ME4 OP1,ME4 OP2,ME4 OP3,ME4 OP4,ME4 OP5,BIG LoOP,ME5 OP2,ME5 OP3,ME5 OP4,BIG HiOP
199302   ,1.11  ,-1.09   ,1.98   ,0.03   ,0.81   ,0.05   ,2.23  ,-0.22  ,-0.21   ,0.74   ,0.37   ,1.31   ,0.00   ,2.30   ,1.55   ,0.53   ,0.30   ,1.48   ,1.83   ,1.09   ,4.29   ,2.04   ,2.38   ,1.01  ,-0.86
199303   ,7.61   ,7.72   ,6.20   ,6.60   ,7.50   ,6.74   ,7.21   ,6.90   ,6.86   ,7.36   ,7.56   ,6.83   ,6.11   ,5.90   ,6.68   ,6.71   ,8.36   ,8.31   ,4.59   ,6.25   ,4.20   ,5.37   ,6.25   ,5.30   ,5.12
199304   ,5.77   ,5.97   ,7.20   ,5.64   ,6.49   ,5.96   ,5.97   ,6.01   ,4.54   ,4.92   ,7.20   ,5.62   ,4.52   ,5.02   ,3.71   ,3.23   ,6.19   ,3.19   ,2.03   ,2.32   ,3.83   ,2.69   ,1.59  ,-0.54   ,1.29
199305   ,3.64   ,2.37   ,1.43   ,1.31   ,2.37   ,2.53   ,1.45   ,1.19   ,2.40   ,0.71   ,1.67  ,-0.45   ,0.19  ,-0.42   ,0.25   ,2.52   ,1.11   ,0.32  ,-1.65   ,0.55  ,-0.66   ,2.21   ,1.21   ,0.55   ,1.36
199306  ,-4.69  ,-4.15  ,-3.91  ,-5.18  ,-4.54  ,-3.94  ,-4.18  ,-5.22  ,-4.02  ,-4.31  ,-4.08  ,-3.41  ,-3.08  ,-4.32  ,-4.32  ,-6.20  ,-3.41  ,-2.83  ,-4.81  ,-5.74  ,-0.00  ,-2.76  ,-2.67  ,-3.68  ,-2.12
199307   ,2.90   ,1.16   ,0.32   ,1.81  ,-0.05  ,-0.51   ,0.30   ,0.46   ,1.89   ,0.93   ,0.51   ,0.75  ,-1.30   ,2.30   ,1.25   ,4.22   ,1.55   ,0.80   ,2.46   ,0.96   ,2.35   ,1.99   ,1.65   ,1.11  ,-0.11
199308   ,9.07  ,10.79  ,10.05   ,9.72   ,8.57  ,11.19   ,9.99   ,8.31  ,10.59   ,9.16   ,9.71  ,10.30   ,9.77   ,8.79   ,9.49  ,10.05   ,9.48   ,9.39  ,10.79   ,8.24   ,8.09   ,8.02   ,8.80   ,8.96   ,9.02
199309   ,0.68   ,0.73   ,2.21   ,1.50   ,0.71  ,-0.91  ,-0.80   ,0.01  ,-0.55   ,2.15   ,0.36  ,-0.74  ,-0.63  ,-0.33   ,0.00  ,-1.93  ,-3.61   ,0.72   ,0.62  ,-0.53  ,-0.78   ,0.02  ,-1.30   ,0.20  ,-0.31
199310   ,0.83   ,0.32   ,1.78   ,1.04   ,0.82  ,-0.46   ,0.99   ,1.87   ,1.78   ,0.18   ,2.38   ,2.19   ,1.06   ,0.62   ,1.43   ,2.06   ,3.92   ,1.73   ,1.77   ,2.43   ,1.41   ,3.36   ,2.86   ,3.38   ,3.32
199311  ,-2.03  ,-1.68   ,0.28  ,-0.62  ,-0.07  ,-2.35  ,-1.97  ,-1.46  ,-1.40  ,-0.36  ,-2.46  ,-2.01  ,-2.29  ,-0.83  ,-2.52  ,-1.56  ,-1.44  ,-0.97  ,-2.55  ,-0.23  ,-2.91  ,-1.88  ,-2.49  ,-2.08  ,-1.80
199312   ,5.48   ,7.99   ,5.47   ,5.08   ,5.12   ,5.22   ,5.15   ,5.84   ,6.33   ,5.33   ,7.04   ,8.42   ,6.16   ,5.69   ,3.06   ,7.80   ,8.82   ,5.25  ,10.78   ,7.32   ,6.76   ,6.84   ,8.17   ,8.47   ,6.82
199401  ,14.34  ,12.64  ,12.57  ,12.67  ,11.89  ,14.47  ,11.63  ,13.35  ,10.38   ,9.51  ,14.80  ,11.24   ,9.73   ,9.57  ,10.84  ,11.61   ,8.89   ,7.06   ,9.63   ,7.26   ,6.19   ,7.88   ,3.29   ,3.34   ,4.42
199402   ,0.58   ,2.07   ,2.11   ,1.20   ,3.00   ,0.44  ,-0.32  ,-0.53   ,0.38   ,0.41  ,-1.02  ,-0.60  ,-0.15   ,0.80   ,0.59  ,-3.46  ,-2.17  ,-0.72  ,-2.64  ,-1.11  ,-4.42  ,-4.41  ,-3.59  ,-3.18  ,-5.03
199403  ,-2.10   ,0.18  ,-0.29  ,-1.53  ,-1.32  ,-1.19  ,-0.78  ,-0.57   ,0.07  ,-1.48  ,-2.02  ,-2.16   ,0.21  ,-0.72  ,-1.18  ,-1.24  ,-2.26  ,-1.31   ,0.20  ,-1.18  ,-2.58  ,-2.85  ,-4.37  ,-1.87  ,-3.15
199404   ,3.84   ,5.04   ,2.93   ,3.35   ,2.84   ,5.09   ,5.08   ,4.69   ,3.54   ,3.45   ,2.25   ,4.20   ,5.27   ,4.70   ,1.57   ,5.21   ,3.46   ,2.70   ,2.80   ,3.51   ,4.71   ,3.18   ,5.06   ,5.04   ,3.49
199405  ,-2.02  ,-1.36  ,-1.75  ,-1.20  ,-1.10  ,-1.93  ,-1.91  ,-3.23  ,-2.69  ,-1.61  ,-3.89  ,-1.47  ,-2.94  ,-2.66  ,-2.20  ,-4.09  ,-3.09  ,-3.67  ,-4.01  ,-3.72  ,-4.08  ,-2.80  ,-3.62  ,-4.66  ,-4.58
199406  ,-1.12  ,-1.22  ,-0.80  ,-0.74  ,-0.66  ,-2.63  ,-1.11  ,-1.17  ,-0.86  ,-0.60  ,-1.87  ,-1.24  ,-2.07  ,-2.05  ,-2.16  ,-1.33  ,-2.79  ,-1.61   ,0.08  ,-0.19  ,-1.19  ,-1.06  ,-0.96  ,-0.41  ,-0.09
199407   ,0.57   ,1.47   ,1.48   ,1.97   ,2.49   ,0.56   ,2.02   ,3.90   ,4.45   ,2.03   ,3.00   ,3.35   ,3.06   ,4.10   ,3.69   ,3.23   ,5.12   ,3.88   ,6.53   ,3.73   ,5.31   ,4.32   ,5.37   ,6.11   ,6.10
199408   ,1.44   ,0.73   ,1.45   ,1.68   ,1.34  ,-0.77   ,2.15   ,1.62   ,2.67   ,2.28   ,0.18  ,-0.25   ,1.12   ,1.67   ,3.32  ,-0.84   ,1.51   ,1.15   ,2.18   ,1.96  ,-0.93   ,1.98   ,1.54   ,4.83   ,4.23
199409  ,-0.90   ,0.98   ,0.73  ,-0.29   ,0.44   ,1.34  ,-1.17  ,-0.71  ,-0.70  ,-0.92  ,-2.71  ,-1.27  ,-1.02  ,-1.92  ,-1.00  ,-2.37  ,-3.95  ,-2.15  ,-2.51  ,-2.10  ,-3.56  ,-3.79  ,-3.74  ,-3.57  ,-3.39
199410   ,1.06   ,1.28  ,-0.01   ,1.31   ,2.00  ,-0.12   ,0.60   ,1.27   ,1.57   ,1.57   ,1.54   ,2.51   ,2.40   ,3.15   ,1.40   ,0.82   ,2.63   ,1.40   ,3.92   ,3.16   ,3.40   ,3.40   ,4.43   ,6.13   ,4.98
199411  ,-4.53  ,-5.32  ,-4.84  ,-4.35  ,-5.24  ,-3.53  ,-4.56  ,-4.66  ,-6.14  ,-4.22  ,-4.24  ,-4.87  ,-4.83  ,-4.87  ,-4.71  ,-4.17  ,-4.79  ,-4.16  ,-4.85  ,-4.88  ,-1.63  ,-3.22  ,-4.50  ,-5.32  ,-4.09
199412   ,0.81   ,0.81   ,0.99   ,1.01   ,1.47  ,-0.41   ,1.48   ,0.86   ,0.79   ,0.63   ,0.55   ,0.52   ,1.10  ,-0.86   ,0.96  ,-0.34   ,0.84   ,1.22   ,2.01   ,1.15  ,-0.29   ,0.29  ,-0.17   ,0.96   ,0.76
199501   ,1.16   ,0.99   ,0.55   ,0.20   ,0.17   ,0.30   ,7.24   ,0.24   ,0.13   ,0.46  ,-2.00  ,-1.94  ,-1.31  ,-0.79   ,0.20  ,-0.96  ,-2.06  ,-1.46  ,-3.22  ,-0.67  ,-3.02  ,-1.87  ,-1.95  ,-0.48   ,0.39
199502   ,0.97   ,1.69   ,2.65   ,1.72   ,2.98   ,1.70   ,0.46   ,2.50   ,1.84   ,2.30   ,1.71   ,2.15   ,0.74   ,2.58   ,2.74  ,-0.93   ,1.39   ,2.15   ,2.93   ,2.50   ,1.65   ,2.62   ,3.38   ,1.76   ,2.78
199503   ,1.44   ,3.04   ,3.76   ,2.99   ,3.60  ,-0.35   ,2.23   ,2.13   ,2.81   ,3.49  ,-0.76   ,3.06   ,3.38   ,2.99   ,3.82  ,-2.17   ,1.15   ,3.61   ,1.41   ,5.60   ,2.04   ,4.34   ,6.09   ,3.44   ,4.64
199504   ,0.26  ,-0.15   ,0.39   ,0.81   ,0.51   ,0.87   ,2.47   ,1.88   ,2.44   ,1.45   ,1.95   ,2.07   ,1.89   ,3.58   ,1.81   ,3.88   ,2.70   ,1.91   ,3.27   ,3.53   ,3.18   ,3.98   ,2.75   ,4.22   ,2.24
199505   ,0.66   ,1.61   ,3.11   ,3.36   ,1.89   ,1.13   ,1.69   ,0.52   ,2.50   ,2.44   ,2.36   ,3.01   ,2.23   ,2.74   ,2.08   ,1.94   ,3.05   ,2.70   ,1.75   ,2.06   ,2.98   ,1.97   ,2.98   ,2.17   ,1.71
199506   ,1.04   ,2.72   ,3.15   ,1.90   ,2.85   ,2.59   ,0.93   ,1.48   ,2.77   ,1.57   ,1.65   ,1.02   ,0.25   ,1.12   ,1.84   ,1.80   ,2.57   ,2.31   ,1.66   ,2.14   ,0.49   ,0.73   ,0.97   ,1.23   ,3.37
199507   ,1.91   ,3.01   ,2.76   ,2.83   ,4.23   ,2.12   ,3.24   ,2.00   ,4.12   ,4.27   ,1.80   ,3.89   ,3.76   ,2.35   ,5.12   ,2.73   ,3.12   ,4.63   ,1.85   ,5.31   ,3.81   ,4.26   ,4.01   ,6.62   ,4.45
199508  ,-2.22  ,-2.90  ,-3.00  ,-2.68  ,-2.01  ,-3.97  ,-1.99  ,-1.50  ,-1.00  ,-2.02  ,-3.61  ,-4.74  ,-3.22  ,-3.38  ,-0.67  ,-4.52  ,-4.69  ,-3.55  ,-3.83  ,-5.05  ,-6.05  ,-5.27  ,-3.76  ,-2.22  ,-2.49
199509   ,2.29   ,3.50   ,2.13   ,2.67   ,3.49   ,0.72   ,1.46   ,1.06   ,1.93   ,3.03   ,3.27   ,2.73   ,1.96   ,1.68   ,4.66   ,0.93   ,0.29   ,2.03   ,1.18   ,2.35   ,1.78   ,3.05   ,3.16   ,3.17   ,3.37
199510  ,-0.64   ,0.14  ,-0.27   ,0.11   ,0.92  ,-1.71  ,-0.84  ,-1.86  ,-1.72  ,-2.15  ,-2.63  ,-1.50  ,-2.85  ,-3.24  ,-0.98  ,-2.14  ,-2.55  ,-1.43  ,-2.19  ,-1.52  ,-0.19   ,1.16   ,0.15  ,-1.80   ,0.51
199511  ,-2.10  ,-3.11  ,-2.00  ,-2.24  ,-2.27  ,-3.17  ,-3.75  ,-3.50  ,-3.17  ,-2.84  ,-1.42  ,-2.11  ,-2.18  ,-4.05  ,-2.18  ,-0.71  ,-1.78  ,-0.69  ,-1.44  ,-2.80   ,1.60   ,0.34   ,0.24   ,0.98   ,1.16
199512   ,1.90   ,0.43   ,1.55   ,0.56   ,0.85   ,2.87   ,1.64   ,2.02   ,0.90   ,0.56   ,1.30   ,2.69   ,1.54   ,0.57   ,1.79   ,1.97   ,3.47   ,2.52   ,1.13   ,3.13   ,2.75   ,4.72   ,3.89   ,0.40   ,0.98
199601  ,-0.16   ,1.06   ,0.49   ,1.27  ,-0.30   ,0.05   ,0.50   ,2.07   ,0.96   ,1.02   ,0.17   ,1.03   ,0.62   ,2.80   ,2.09   ,1.64   ,0.82   ,0.92   ,0.40   ,1.98  ,-0.13  ,-1.17   ,0.61   ,1.40   ,3.08
199602   ,1.46   ,2.97   ,2.66   ,4.02   ,4.98   ,3.31   ,4.43   ,4.46   ,2.95   ,7.68   ,1.70   ,4.85   ,3.72   ,4.39   ,4.82   ,2.38   ,2.60   ,4.57   ,4.51   ,5.04   ,0.23   ,1.13   ,2.16   ,2.30   ,2.08
199603   ,1.14   ,2.11   ,1.10   ,2.91   ,1.89   ,0.04   ,1.71   ,1.29   ,1.94   ,1.86   ,1.79   ,1.53   ,1.82   ,2.32   ,1.76   ,0.59   ,0.87   ,1.66   ,3.61   ,3.16  ,-1.53   ,1.67   ,3.39   ,0.72  ,-1.07
199604   ,1.46   ,0.70   ,1.74   ,0.48   ,1.54   ,0.86   ,1.09   ,0.58   ,0.89   ,3.03   ,2.66   ,1.93   ,2.25   ,1.98   ,1.29   ,2.60   ,0.49   ,1.07   ,1.46   ,2.36   ,2.40  ,-0.49   ,0.20   ,1.32   ,1.72
199605   ,4.12   ,3.71   ,3.47   ,3.42   ,5.05   ,3.38   ,3.75   ,3.47   ,3.34   ,5.84   ,1.02   ,1.92   ,1.13   ,4.09   ,3.17   ,2.68   ,1.32   ,1.29   ,1.97   ,4.99   ,0.09  ,-0.46   ,3.24   ,1.85   ,2.70
199606  ,-0.09   ,1.47  ,-0.12  ,-0.27  ,-0.07  ,-1.30  ,-0.01  ,-0.05   ,1.28   ,1.01  ,-1.16   ,0.04  ,-0.41   ,0.46  ,-1.57  ,-0.85   ,0.50   ,1.10   ,0.63  ,-0.03  ,-0.28   ,0.64   ,1.38   ,0.19   ,1.35
199607  ,-0.38  ,-0.06  ,-0.92  ,-1.01  ,-0.95  ,-1.81  ,-0.81  ,-2.58  ,-2.99  ,-0.79  ,-2.28  ,-2.05  ,-1.81  ,-3.09  ,-2.02  ,-1.80  ,-1.99  ,-1.95   ,0.13  ,-0.10  ,-1.19  ,-0.81  ,-0.83  ,-0.70  ,-3.21
199608   ,0.83   ,2.00   ,2.00   ,1.48   ,1.22   ,1.21   ,1.18   ,1.59   ,0.72   ,3.15   ,1.69   ,1.67   ,2.74   ,2.28   ,1.95   ,1.74   ,1.54   ,1.07   ,2.30   ,3.07   ,1.52   ,1.42   ,2.91   ,2.90   ,4.83
199609  ,-1.15  ,-0.92  ,-0.84  ,-0.76  ,-0.41  ,-1.44  ,-1.85  ,-1.00  ,-0.32  ,-0.42  ,-1.75   ,0.19  ,-0.30  ,-1.02   ,0.30  ,-1.23  ,-0.64   ,1.23  ,-0.41   ,0.46   ,1.49   ,1.00   ,3.02   ,1.82   ,3.64
199610   ,1.29   ,1.81   ,2.57   ,2.43   ,2.21   ,1.03   ,2.11   ,1.82   ,4.78   ,3.10   ,2.12   ,2.61   ,2.81   ,4.80   ,3.37   ,1.47   ,1.40  ,-0.45   ,3.26   ,2.34  ,-0.42   ,1.59   ,3.30   ,1.99   ,1.39
199611   ,2.73   ,1.53   ,2.39   ,1.69   ,2.57   ,2.84   ,2.05   ,2.65   ,1.85   ,1.33   ,2.71   ,3.51   ,2.75   ,1.29   ,2.90   ,3.15   ,2.69   ,3.72   ,3.40   ,2.81   ,4.38   ,4.26   ,3.47   ,6.43   ,6.65
199612   ,1.86   ,2.26   ,1.62   ,2.18   ,3.54   ,2.00   ,1.84   ,2.47   ,2.41   ,1.57   ,2.75   ,2.04   ,4.53   ,1.20   ,2.09   ,2.72   ,2.12   ,4.72   ,3.15   ,1.59   ,1.08   ,1.45   ,2.17   ,2.81   ,3.10
199701   ,1.46   ,0.25  ,-0.27   ,2.11   ,0.19   ,0.70   ,1.01   ,1.53   ,0.20   ,0.83   ,2.70   ,0.38   ,2.22   ,1.43   ,0.32   ,2.07   ,0.13   ,0.38  ,-0.79  ,-0.18   ,0.18   ,0.90   ,1.11  ,-2.41   ,0.70
199702   ,2.35   ,2.23   ,1.96   ,3.33   ,2.50   ,2.86   ,0.61   ,0.06   ,0.78   ,1.91   ,1.04   ,0.02   ,0.92  ,-0.19   ,1.85  ,-0.31  ,-0.25   ,1.35   ,0.44   ,3.23   ,2.46   ,0.41   ,0.71   ,1.57   ,0.74
199703   ,1.55   ,1.90   ,1.56   ,2.47   ,2.26   ,1.13   ,1.73   ,1.51   ,1.70   ,1.06   ,1.59   ,1.09   ,1.79   ,1.45   ,1.13   ,0.60   ,3.84   ,1.56   ,1.78   ,1.09   ,1.85   ,2.96   ,2.48   ,2.75   ,2.93
199704  ,-2.14  ,-1.13  ,-1.66  ,-1.91  ,-0.78  ,-2.70  ,-1.87  ,-2.35  ,-2.42  ,-1.64  ,-1.38  ,-0.87  ,-1.53  ,-1.80  ,-3.83  ,-1.02  ,-1.20  ,-1.39  ,-3.18  ,-4.05   ,0.15  ,-1.49   ,0.33  ,-0.00   ,2.30
199705   ,3.24   ,3.82   ,3.91   ,3.83   ,3.17   ,3.27   ,5.68   ,4.44   ,2.20   ,3.70   ,2.88   ,3.69   ,3.59   ,3.13   ,3.89   ,3.66   ,2.74   ,5.24   ,3.76   ,5.01   ,7.68   ,4.21   ,7.14   ,4.55   ,2.94
