Date,SMALL LoINV,ME1 INV2,ME1 INV3,ME1 INV4,SMALL HiINV,ME2 INV1,ME2 INV2,ME2 INV3,ME2 INV4,ME2 INV5,ME3 INV1,ME3 INV2,ME3 INV3,ME3 INV4,ME3 INV5,ME4 INV1,ME4 INV2,ME4 INV3,ME4 INV4,ME4 INV5,BIG LoINV,ME5 INV2,ME5 INV3,ME5 INV4,BIG HiINV
199205   ,2.71   ,8.21   ,3.79  ,-2.00   ,2.21   ,8.23   ,6.48  ,-1.74   ,3.19   ,3.90   ,9.76   ,8.69   ,3.82   ,1.03   ,2.42   ,6.74  ,10.14   ,6.33  ,10.75   ,8.43   ,8.97   ,7.84  ,12.22   ,4.90   ,9.69
199206  ,-4.05  ,-2.77  ,-1.99  ,-6.89  ,-4.68  ,-1.71  ,-0.51  ,-2.86  ,-0.24  ,-0.32   ,1.60  ,-0.64   ,0.10  ,-5.13   ,1.33  ,-1.39   ,1.30  ,-0.53   ,3.57   ,0.82  ,-0.85  ,-5.05  ,-2.04   ,0.81  ,-0.75
199207   ,3.45  ,-1.01  ,-2.08   ,1.95   ,1.80  ,-1.49  ,-4.47  ,-4.48  ,-4.12  ,-2.29   ,1.11  ,-2.59  ,-2.18   ,6.69  ,-3.70  ,-3.31  ,-6.51   ,0.92  ,-0.38  ,-5.23  ,-1.49  ,-3.60   ,0.47  ,-3.07  ,-7.31
199208  ,-5.98  ,-3.89  ,-6.20  ,-3.73  ,-3.66  ,-6.28  ,-6.96  ,-7.13  ,-5.40  ,-5.29  ,-5.59  ,-6.60  ,-7.37  ,-0.95  ,-4.51  ,-6.97  ,-6.76  ,-3.45  ,-8.89  ,-8.82  ,-7.07  ,-8.08  ,-4.44  ,-3.66  ,-6.64
199209  ,-1.36   ,0.07  ,-0.63  ,-1.49  ,-1.08   ,0.25  ,-2.60  ,-1.35  ,-1.30  ,-0.66  ,-0.13  ,-2.19  ,-0.34   ,1.71  ,-0.46  ,-1.88  ,-1.39  ,-0.11  ,-0.72  ,-1.02  ,-4.30  ,-3.24  ,-1.12  ,-2.66  ,-1.04
199210  ,-1.61  ,-3.10  ,10.33  ,-0.28  ,-1.46  ,-0.73   ,1.31   ,1.02   ,1.33   ,2.57   ,0.44  ,-0.60   ,4.57   ,0.27   ,1.97  ,-2.02   ,5.29   ,0.70   ,2.74  ,-1.18  ,-2.00  ,-4.91   ,6.57   ,8.85   ,7.13
199211  ,-0.40   ,1.13   ,7.01   ,1.71   ,2.57   ,2.70  ,-0.63   ,0.37   ,2.07   ,4.88  ,-1.34   ,0.98   ,1.69   ,7.67   ,2.66   ,0.24   ,0.23  ,-0.19   ,3.32  ,-0.63   ,1.56  ,-2.37  ,-3.56  ,-2.85  ,-4.95
199212   ,9.03   ,3.32  ,-0.22   ,5.15   ,1.65  ,-0.18   ,3.79   ,1.84   ,2.83   ,1.18   ,2.95   ,2.56   ,1.02   ,3.49  ,-0.73   ,3.62  ,-2.94   ,2.47   ,1.10  ,-2.04   ,5.07   ,8.38  ,-2.58  ,-1.31  ,-3.54
199301   ,1.18   ,0.49   ,4.51   ,4.21   ,4.13   ,2.29   ,0.97   ,0.69   ,1.86   ,4.17  ,-0.15   ,3.77   ,4.27  ,-4.25  ,-0.05   ,1.15   ,2.59   ,4.18   ,2.27   ,2.38  ,-1.88  ,-2.90   ,3.38   ,3.70   ,1.29
199302   ,7.97   ,8.07   ,7.50  ,11.72   ,7.14   ,4.66  ,11.19   ,9.84   ,9.46   ,4.46   ,6.68  ,10.62   ,4.50   ,8.35   ,8.07   ,6.52   ,5.44   ,3.13   ,7.62   ,6.52   ,8.78   ,7.91   ,7.49   ,8.08  ,12.94
199303   ,9.62   ,6.95   ,9.02   ,4.14   ,8.78   ,6.54   ,8.46   ,3.50  ,-0.02   ,5.24   ,5.86   ,5.84   ,2.99   ,6.41  ,10.23   ,4.12   ,0.19   ,1.81   ,8.76   ,8.37   ,2.97   ,2.93   ,0.41   ,1.26   ,3.66
199304  ,10.81   ,7.19  ,11.49   ,7.50  ,10.38  ,10.31   ,7.14   ,2.70   ,9.36   ,6.18  ,11.59  ,13.57   ,3.29   ,6.93   ,4.64   ,7.65   ,9.94   ,6.00   ,5.68   ,9.20   ,2.11   ,0.65   ,6.67   ,6.86   ,7.34
199305   ,8.25   ,5.70  ,22.70   ,5.90   ,9.71   ,1.88  ,13.00   ,4.62   ,9.92   ,2.59   ,8.45  ,13.11   ,7.90  ,11.30   ,0.75   ,2.77  ,10.13   ,4.60   ,4.11  ,11.42   ,2.06  ,-0.35   ,4.97   ,8.11   ,5.31
199306   ,1.80  ,-0.64  ,10.88  ,-0.23  ,-0.65  ,-1.48   ,1.85  ,-0.10  ,-7.12  ,12.81  ,-1.45  ,-3.46  ,-1.56  ,-2.81  ,-2.48  ,-3.31  ,-2.81  ,-1.91  ,-3.54  ,-1.82  ,-2.34  ,-2.55  ,-1.25  ,-3.74  ,-4.51
199307  ,15.77   ,5.48   ,7.94   ,8.03  ,10.48   ,3.21   ,3.98   ,2.21  ,-4.91   ,1.78   ,1.40   ,6.99  ,-2.81  ,-2.58   ,2.12  ,-3.87   ,9.34   ,1.42  ,-0.61  ,-0.80   ,8.56   ,7.03   ,0.77  ,-0.30  ,-2.98
199308   ,3.77   ,6.70   ,1.67   ,7.88   ,4.64   ,5.62   ,8.13   ,2.46   ,3.60   ,9.66   ,6.62   ,2.23   ,4.63   ,6.06   ,4.63   ,5.54   ,2.45  ,10.59   ,8.29   ,3.74  ,-0.33   ,6.04   ,9.89   ,8.53   ,4.60
199309  ,-5.03  ,-1.94  ,-0.85  ,-4.50  ,-8.73   ,0.36  ,-1.32  ,-0.37  ,-3.01  ,-4.36  ,-1.99  ,-3.57  ,-4.45   ,0.07  ,-1.17  ,-2.75  ,-2.72   ,0.57  ,-3.09  ,-1.50  ,-4.15  ,-1.34   ,0.95   ,4.14   ,5.27
199310   ,9.54   ,9.36   ,9.89  ,13.32  ,11.79  ,11.20   ,9.30   ,7.85  ,14.82  ,10.12   ,7.46   ,9.61   ,7.69  ,22.79  ,15.25  ,14.07   ,9.41  ,11.23  ,15.46  ,18.32  ,14.03  ,13.23  ,16.61  ,20.53  ,21.69
199311  ,-0.13   ,0.59   ,1.57  ,-1.95  ,-3.23  ,-2.22  ,-1.21   ,1.98  ,-0.20   ,2.08  ,-1.38  ,-2.63   ,0.19   ,1.43   ,1.20  ,-3.32   ,1.31  ,-1.83  ,-1.96   ,0.03  ,-2.65  ,-3.68  ,-3.87  ,-1.05   ,0.93
199312  ,18.46  ,12.89  ,14.47  ,18.54  ,16.27  ,17.59  ,12.87  ,11.85  ,11.74  ,13.80  ,15.58  ,19.48  ,24.90  ,17.68  ,20.45  ,16.76  ,12.98  ,15.98  ,12.14  ,14.70  ,15.91  ,15.20  ,19.20  ,33.07  ,31.76
199401  ,16.85  ,11.31  ,13.11   ,9.60  ,13.07   ,6.27   ,0.81   ,2.83  ,-4.82   ,3.27   ,4.47   ,4.23   ,4.92   ,0.18  ,-0.95   ,8.10   ,1.25   ,0.43   ,1.42  ,-0.50   ,8.03   ,7.73  ,-2.58  ,-2.05  ,-4.40
199402   ,3.22  ,-2.11  ,-0.58   ,0.96  ,-0.18   ,1.62   ,1.24  ,-2.41  ,-1.92  ,-3.08  ,-2.16  ,-3.53  ,-1.52  ,-2.81  ,-3.11  ,-3.26  ,-3.16  ,-3.89  ,-3.30  ,-5.34  ,-6.01  ,-6.10  ,-7.92  ,-8.54  ,-7.86
199403 ,-12.11  ,-9.16  ,-7.25  ,-9.12  ,-8.24 ,-12.21  ,-8.06  ,-4.90 ,-11.69  ,-9.53  ,-8.72 ,-10.04 ,-10.14 ,-12.17  ,-9.09  ,-8.24  ,-7.29 ,-10.09  ,-9.84 ,-10.28  ,-6.24 ,-11.70  ,-8.74  ,-9.74  ,-9.71
199404   ,0.37   ,0.42  ,-0.56   ,0.68  ,-1.20   ,4.51   ,4.03   ,0.62   ,0.60  ,-1.12   ,2.63   ,3.72   ,5.70   ,4.06   ,0.01  ,-0.28   ,2.13   ,4.30   ,3.92  ,-1.60   ,2.42   ,3.71   ,5.68   ,0.62  ,-3.19
199405   ,1.24   ,4.17  ,-0.34  ,-0.61  ,-0.33  ,-0.23   ,4.48  ,-1.17   ,0.90   ,2.10   ,3.23   ,2.47  ,-0.22   ,2.38  ,-0.55   ,5.06   ,3.77   ,1.15  ,-0.53   ,3.09   ,5.00   ,5.84   ,4.99   ,4.78   ,7.13
199406  ,-2.63  ,-5.06  ,-2.51  ,-2.67  ,-2.11  ,-3.24  ,-4.38  ,-4.83  ,-6.78  ,-4.54  ,-3.90  ,-2.35 ,-10.12  ,-4.79  ,-4.51  ,-6.75  ,-3.34  ,-4.97  ,-4.44  ,-4.97  ,-5.83  ,-4.90  ,-5.05  ,-8.32 ,-10.92
199407   ,0.97   ,2.66   ,1.70   ,0.58   ,2.33   ,2.45   ,3.29   ,2.18   ,2.17  ,-0.29   ,3.15   ,2.20   ,3.29   ,0.48  ,-1.43   ,3.60   ,4.17   ,3.51   ,3.44   ,3.62   ,3.72   ,4.57   ,5.00   ,8.87   ,7.16
199408   ,1.57   ,0.45   ,4.65   ,3.36  ,-0.69   ,1.20   ,2.16   ,2.72   ,1.56  ,-1.66   ,3.82   ,5.00   ,1.60   ,0.98   ,4.14   ,4.16   ,1.28   ,1.89   ,0.28   ,3.35   ,1.94   ,4.80   ,5.98   ,5.66   ,1.12
199409  ,-2.26  ,-1.97  ,-2.06  ,-0.10  ,-1.72  ,-1.09  ,-0.79  ,-1.53   ,2.58  ,-2.40   ,1.66  ,-1.91  ,-0.40  ,-0.93  ,-2.97  ,-1.72  ,-2.22   ,0.83   ,0.39   ,1.61  ,-2.12  ,-3.56  ,-3.87  ,-1.54  ,-1.69
199410  ,-0.02  ,-1.35  ,-3.88  ,-2.55  ,-2.84   ,0.30  ,-1.51  ,-0.21  ,-1.18  ,-2.89   ,1.53   ,2.46   ,0.12   ,0.45  ,-1.24   ,0.11   ,1.86   ,2.25   ,2.38  ,-0.33   ,2.89   ,0.28   ,3.65   ,0.85  ,-0.22
199411  ,-5.48  ,-4.36  ,-3.87  ,-7.35  ,-8.37  ,-5.22  ,-5.52  ,-7.02  ,-7.47 ,-12.27  ,-6.94  ,-3.94  ,-4.49  ,-8.15 ,-11.47  ,-4.35  ,-6.13  ,-5.57 ,-11.96 ,-10.48  ,-5.88  ,-3.29  ,-8.01 ,-12.87 ,-11.80
199412  ,-1.51  ,-3.24  ,-3.01  ,-2.65  ,-2.38  ,-2.31  ,-1.12  ,-2.97  ,-6.08  ,-4.89   ,0.27   ,0.36  ,-2.40  ,-3.58  ,-1.37   ,0.53   ,1.10  ,-0.38  ,-1.32  ,-1.51  ,-1.27   ,0.24   ,1.69  ,-3.34  ,-2.95
199501  ,-4.08  ,-7.38  ,-7.53  ,-8.85  ,-8.75  ,-6.94  ,-6.94  ,-7.29  ,-8.61 ,-10.85  ,-6.12  ,-8.52  ,-7.23  ,-8.05  ,-9.92  ,-4.97  ,-8.75  ,-6.52  ,-6.94 ,-10.35  ,-0.28  ,-8.44  ,-8.11  ,-8.19 ,-10.18
199502  ,-2.24   ,0.76  ,-3.41  ,-2.29  ,-2.26   ,2.14  ,-1.59   ,3.22   ,0.28   ,3.21   ,2.08   ,1.93   ,2.44   ,2.74   ,2.55  ,-0.96   ,2.69   ,2.62   ,6.23   ,3.48   ,1.46   ,6.47   ,5.18  ,15.29   ,9.26
199503  ,-2.76   ,0.48   ,0.55  ,-0.58  ,-4.54   ,0.20   ,1.25  ,-0.08  ,-3.37  ,-3.98  ,-1.36  ,-0.96  ,-0.47   ,0.01  ,-0.60   ,0.67   ,0.12   ,0.46  ,-1.07  ,-1.10  ,-0.00   ,2.35   ,1.24   ,1.84   ,0.21
199504   ,3.15   ,2.49  ,-0.00  ,-1.58   ,0.81   ,3.19   ,0.59   ,0.53   ,0.26  ,-2.77   ,1.38   ,1.30   ,2.37   ,0.81   ,1.28   ,5.97   ,4.10   ,4.04   ,0.09   ,1.52   ,5.44   ,2.83   ,3.33  ,-3.36  ,-3.67
199505  ,-1.87  ,-2.55  ,-2.50  ,-0.17   ,0.63  ,-0.05   ,0.10   ,1.51   ,1.34   ,4.27   ,1.39   ,1.96   ,3.25   ,3.90   ,4.26  ,-1.60   ,0.34   ,4.19   ,5.91   ,5.03  ,-0.08   ,1.69   ,5.75  ,11.09   ,8.94
199506  ,-0.90  ,-1.41   ,0.28  ,-0.29  ,-3.03  ,-0.56  ,-0.55  ,-2.70   ,2.20   ,2.96  ,-1.17  ,-8.18  ,-2.16  ,-1.63   ,3.27   ,1.16  ,-2.02  ,-2.30  ,-2.96   ,1.16  ,-2.77  ,-0.02  ,-3.30  ,-3.11  ,-1.74
199507   ,6.12   ,6.86   ,4.80   ,8.99  ,12.23   ,6.81   ,6.91   ,6.24   ,8.05   ,8.74   ,8.03   ,5.49   ,8.01   ,5.38   ,8.77   ,6.16   ,4.01   ,5.05   ,5.93   ,5.53   ,8.61   ,6.41   ,2.31   ,3.66   ,4.23
199508   ,9.10   ,6.87   ,1.78   ,5.93   ,7.18   ,2.19   ,5.04   ,3.62   ,3.64   ,0.30   ,2.38   ,3.89  ,-1.64  ,-0.13  ,-0.07   ,0.55  ,-0.62  ,-3.32  ,-0.79   ,0.82   ,0.86  ,-0.92  ,-1.25  ,-4.19  ,-3.88
199509   ,0.24   ,2.16   ,2.75   ,0.84   ,0.22   ,2.00   ,4.03   ,1.26   ,6.43  ,-0.74   ,0.86  ,-1.17   ,1.08   ,0.69   ,2.39   ,0.64   ,1.77   ,2.12   ,3.32   ,0.26   ,2.13   ,0.40   ,1.42   ,4.17   ,6.34
199510  ,-4.26  ,-3.81  ,-0.71  ,-2.36  ,-2.65  ,-4.15  ,-1.14  ,-0.68  ,-0.53  ,-3.88  ,-2.15  ,-1.68  ,-1.99  ,-2.01  ,-2.80  ,-0.10  ,-1.33  ,-1.76  ,-3.06  ,-2.24  ,-1.71   ,1.07  ,-0.64   ,1.59   ,0.95
199511   ,2.60   ,7.90   ,0.28   ,4.31   ,4.55   ,1.52   ,1.06  ,-0.27   ,0.99  ,-1.50  ,-0.00   ,0.68   ,0.31   ,0.03  ,-1.31   ,0.68   ,1.63   ,2.16   ,1.41  ,-0.51   ,2.53   ,0.77   ,0.86   ,1.51   ,2.18
199512  ,-1.19   ,0.45  ,-1.25  ,-3.21   ,0.58   ,5.60   ,3.98   ,1.66   ,2.35   ,1.10   ,3.50   ,4.08   ,1.30   ,2.48   ,1.71   ,2.43   ,5.86   ,2.31   ,2.23   ,0.37   ,2.20   ,3.30   ,3.09   ,6.85   ,2.21
199601   ,8.57   ,5.18   ,5.98   ,7.85   ,9.03   ,7.82   ,2.82   ,4.80  ,11.22   ,9.31   ,5.51   ,5.75   ,9.58   ,6.32   ,8.16   ,3.76   ,7.66   ,5.32  ,12.42  ,12.20   ,4.10   ,6.03   ,8.87  ,10.22  ,17.79
199602   ,5.31   ,1.00   ,3.61   ,2.82   ,4.41   ,4.16   ,2.59   ,1.18   ,0.85   ,1.55   ,2.65  ,-0.03   ,0.76   ,2.87   ,2.82   ,1.15  ,-0.86   ,6.66   ,4.18   ,1.41   ,2.15   ,1.35   ,1.13  ,-1.13  ,-3.27
199603   ,1.69   ,0.00  ,-0.74  ,-1.83  ,-0.29   ,1.17  ,-0.89  ,-0.82   ,0.20  ,-2.69   ,1.40   ,0.57   ,0.08   ,0.18  ,-0.91   ,1.69   ,0.79   ,0.44  ,-0.79  ,-0.43   ,0.67  ,-1.13  ,-0.79  ,-0.39  ,-1.80
199604   ,3.91   ,2.39   ,5.16   ,1.78   ,1.97   ,7.96   ,1.63   ,3.15   ,4.79   ,2.91   ,2.76   ,4.57   ,1.55   ,0.57   ,3.92   ,2.59   ,2.07   ,2.96   ,0.80   ,2.64   ,1.91   ,3.52   ,1.59  ,-0.20   ,1.55
199605   ,3.08   ,2.54   ,1.84   ,1.56   ,4.49   ,8.90   ,0.19  ,-1.64  ,-0.82   ,2.58   ,0.80  ,-0.62  ,-0.78   ,1.34  ,-0.86  ,-2.62  ,-0.33  ,-0.20  ,-2.18   ,2.42  ,-3.10   ,3.68   ,0.56   ,0.47   ,3.94
199606  ,-2.41  ,-1.76  ,-1.93  ,-2.68  ,-3.11  ,-3.55  ,-1.64  ,-0.65  ,-3.40   ,0.16   ,0.05  ,-0.83  ,-1.12  ,-3.78   ,0.03  ,-1.48  ,-0.49   ,0.90   ,2.36  ,-2.14   ,0.40  ,-4.06  ,-1.85  ,-1.69  ,-1.03
199607  ,-5.71  ,-3.39  ,-4.81  ,-3.87  ,-6.01  ,-5.49  ,-3.90  ,-4.42  ,-4.76  ,-6.01  ,-4.66  ,-3.78 ,-10.20  ,-3.91  ,-5.68  ,-2.15  ,-4.75  ,-4.39  ,-7.55  ,-5.18  ,-4.04  ,-4.75  ,-5.02  ,-4.56  ,-6.12
199608   ,4.25   ,3.83   ,4.92   ,4.42   ,3.55   ,2.98   ,4.81   ,5.44   ,5.04   ,4.39   ,1.65   ,1.82   ,5.55   ,3.88   ,5.32   ,4.60   ,0.05   ,5.45   ,6.02   ,4.31   ,5.91   ,3.67   ,4.57   ,4.55   ,2.76
199609   ,3.76   ,1.78   ,0.69   ,4.79   ,3.34   ,1.87   ,1.42   ,2.56   ,1.10   ,2.01   ,2.86   ,1.65   ,3.89   ,3.18   ,0.53   ,4.27   ,1.90   ,2.63  ,-0.84   ,1.58   ,4.52   ,3.88   ,3.53   ,3.86  ,-1.65
199610   ,5.77   ,4.16   ,6.87   ,4.80   ,6.54   ,3.28   ,7.13   ,6.83   ,0.94   ,5.31   ,1.45   ,2.71   ,1.27   ,0.00   ,0.77   ,4.50  ,-1.19   ,3.05   ,0.99   ,2.66   ,4.10   ,1.94   ,3.43   ,1.50   ,1.39
199611  ,11.45   ,5.60   ,5.09   ,8.25  ,11.39   ,5.74   ,6.29   ,6.91   ,6.87   ,3.93   ,7.42   ,7.51   ,9.35   ,6.30   ,7.51   ,9.67   ,6.78   ,6.55   ,9.75   ,3.71  ,11.72   ,7.08   ,6.49   ,7.35   ,0.91
199612   ,0.15   ,0.02   ,0.27  ,-0.11   ,0.08  ,-0.11   ,2.68   ,0.25  ,-3.67  ,-0.89  ,-1.32   ,0.90  ,-3.27   ,0.78  ,-1.81   ,2.65  ,-0.21  ,-2.22   ,0.11   ,1.43  ,-0.20   ,2.29  ,-1.35   ,0.42   ,0.21
199701   ,0.22   ,0.66   ,1.24   ,1.09  ,-0.84   ,1.21   ,1.13  ,-1.64   ,2.24  ,-1.17   ,0.67  ,-1.68  ,-3.13  ,-2.02  ,-1.27  ,-1.97  ,-3.36  ,-2.09  ,-0.14  ,-3.58  ,-4.09  ,-2.90  ,-1.76   ,0.33  ,-0.17
199702   ,5.29   ,8.51   ,5.03   ,5.72   ,6.83   ,2.19   ,5.39   ,3.38   ,2.70   ,6.13   ,1.21   ,3.76   ,2.42   ,2.59   ,3.51   ,4.68   ,1.57   ,0.68   ,3.93   ,4.59   ,1.43   ,0.39   ,1.24  ,-1.15  ,-0.94
199703  ,-1.00  ,-2.95  ,-2.01  ,-0.87  ,-2.11  ,-1.03  ,-3.17  ,-0.66  ,-5.25  ,-2.93  ,-4.56  ,-2.61  ,-2.54  ,-4.82  ,-1.43  ,-3.13  ,-3.43  ,-2.34  ,-6.19  ,-6.02  ,-5.72  ,-4.74  ,-2.58  ,-5.78  ,-7.45
199704   ,2.43  ,-0.29   ,1.21   ,2.04  ,-0.56  ,-1.24   ,1.14  ,-0.47  ,-0.78  ,-2.65  ,-0.70   ,0.37   ,0.90   ,0.60  ,-0.35   ,1.85  ,-1.31   ,2.23  ,-0.30   ,0.76   ,0.40   ,2.47   ,2.47  ,-0.56  ,-7.92
199705   ,8.40   ,1.34   ,3.39   ,7.34   ,4.82   ,5.76   ,7.83   ,2.24   ,3.87   ,4.59   ,4.36   ,2.41   ,5.79   ,8.81   ,5.76   ,6.06   ,1.24   ,3.85   ,3.76   ,7.98   ,9.56  ,10.03   ,7.47   ,8.42   ,5.85
