Date,SMALL LoPRIOR,ME1 PRIOR2,ME1 PRIOR3,ME1 PRIOR4,SMALL HiPRIOR,ME2 PRIOR1,ME2 PRIOR2,ME2 PRIOR3,ME2 PRIOR4,ME2 PRIOR5,ME3 PRIOR1,ME3 PRIOR2,ME3 PRIOR3,ME3 PRIOR4,ME3 PRIOR5,ME4 PRIOR1,ME4 PRIOR2,ME4 PRIOR3,ME4 PRIOR4,ME4 PRIOR5,BIG LoPRIOR,ME5 PRIOR2,ME5 PRIOR3,ME5 PRIOR4,BIG HiPRIOR
199304  ,13.61   ,6.74   ,9.95   ,9.51  ,10.21   ,6.07   ,8.61   ,9.50   ,6.76   ,6.82   ,6.29   ,9.99   ,8.89   ,5.55  ,16.35   ,6.95   ,9.78   ,6.85   ,7.48   ,9.42   ,2.27   ,0.65   ,8.39   ,6.54   ,5.37
199305   ,6.28   ,6.08   ,7.86  ,10.52   ,9.92   ,2.89  ,11.46   ,5.54   ,7.91  ,11.01   ,3.43   ,6.84   ,8.08   ,7.59  ,13.07   ,6.69   ,5.31   ,7.97   ,5.29   ,5.82   ,1.18   ,3.11   ,6.60   ,8.73   ,2.91
199306   ,4.89   ,0.12  ,-1.47  ,-1.50   ,2.31  ,-1.24  ,-0.79  ,11.20   ,1.59   ,2.12  ,-2.56   ,2.94  ,-0.99  ,-4.49  ,-0.57  ,-4.85  ,-3.34  ,-1.86  ,-0.83  ,-1.73  ,-2.84  ,-3.94  ,-2.49  ,-5.28  ,-1.90
199307   ,6.63   ,6.01  ,12.24   ,5.54  ,14.93  ,-2.62  ,-0.65  ,-3.04   ,2.76   ,2.86  ,-2.23   ,1.94  ,-4.27   ,2.55   ,0.39   ,0.96  ,-3.90   ,1.42   ,1.88   ,5.43   ,5.75   ,2.23   ,0.27   ,1.89   ,6.24
199308   ,2.71   ,4.66  ,11.54   ,6.95   ,2.42   ,1.60  ,12.47   ,6.35   ,8.86   ,6.60   ,3.23   ,3.45  ,10.16   ,3.63   ,1.98   ,6.73   ,4.38   ,3.41   ,9.56  ,12.37   ,4.38   ,7.81   ,8.47   ,6.92   ,1.62
199309  ,-5.17  ,-0.38  ,-5.80   ,0.08  ,-6.76   ,4.04  ,-0.35  ,-3.36  ,-1.58  ,-2.60  ,-1.43  ,-1.46   ,0.40  ,-2.84  ,-3.72  ,-1.06   ,0.72  ,-1.29  ,-0.50  ,-2.38   ,1.32  ,-1.22   ,2.28   ,1.48  ,-3.09
199310   ,8.33   ,8.66  ,12.06  ,10.02  ,13.56  ,11.45   ,9.36  ,10.67  ,10.08  ,13.19  ,12.71  ,10.39  ,10.96  ,14.89  ,12.08  ,16.56  ,12.43   ,9.72  ,12.42  ,19.37  ,15.35  ,15.12  ,20.63  ,15.97  ,14.72
199311   ,1.39   ,0.39   ,0.30   ,0.29  ,-1.85   ,1.72   ,1.53  ,-3.05   ,1.59   ,6.95   ,1.48  ,-1.83   ,1.87  ,-2.89  ,-0.07  ,-0.88   ,0.10  ,-1.79  ,-5.32  ,-1.10  ,-2.76  ,-1.12  ,-1.00  ,-5.12  ,-6.25
199312   ,8.74  ,14.56  ,15.85  ,16.38  ,17.13  ,11.22  ,16.55  ,18.97  ,13.94  ,19.74  ,16.76  ,14.79  ,16.19  ,12.48  ,25.12  ,13.89  ,22.08  ,11.89  ,16.96  ,16.17  ,13.06  ,22.05  ,22.20  ,22.36  ,32.19
199401   ,5.75   ,7.40   ,7.44  ,16.22  ,15.15   ,5.31   ,3.01   ,1.13   ,4.88   ,3.43   ,1.97  ,-3.13   ,6.87   ,3.87   ,3.12   ,0.42   ,4.10   ,5.17   ,0.34  ,-4.16   ,7.20   ,7.15   ,0.88  ,-4.88  ,-1.77
199402   ,0.02   ,3.69   ,0.16  ,-1.33   ,0.36  ,-2.02  ,-4.44  ,-4.06  ,-2.27   ,0.89  ,-3.99  ,-5.21  ,-1.86  ,-1.75  ,-0.19  ,-3.69  ,-4.71  ,-3.57  ,-5.09  ,-4.40  ,-3.13  ,-4.39  ,-7.31  ,-9.79 ,-10.24
199403  ,-9.84  ,-6.81  ,-8.18 ,-12.56  ,-9.69  ,-9.06  ,-8.69  ,-7.21  ,-9.87 ,-14.29  ,-8.88  ,-9.97  ,-6.73  ,-9.75 ,-11.96  ,-8.66  ,-8.02  ,-5.44  ,-8.75 ,-10.97  ,-6.94  ,-8.92 ,-11.61  ,-9.39 ,-10.83
199404  ,-1.18  ,-0.31   ,2.37   ,1.15  ,-0.00  ,-0.50   ,3.66   ,0.14   ,1.46  ,-0.87  ,-0.34   ,4.16   ,2.30  ,-0.03   ,5.95   ,0.53   ,3.67   ,3.56   ,5.48   ,2.78   ,1.75   ,3.60   ,6.12  ,-0.12  ,-0.51
199405   ,0.80   ,0.62   ,0.70   ,0.86   ,0.46  ,-0.57   ,0.08   ,2.82   ,1.75   ,0.27   ,2.75   ,1.18   ,4.58  ,-1.50   ,2.37   ,0.97   ,0.84   ,2.94   ,1.39   ,0.32   ,6.39   ,5.28   ,5.22   ,5.78   ,5.55
199406  ,-6.85  ,-3.49  ,-3.09  ,-1.69  ,-3.91  ,-7.14  ,-3.62  ,-5.14  ,-3.81  ,-2.71  ,-3.19  ,-5.52  ,-3.52  ,-3.00  ,-3.64  ,-5.59  ,-6.03  ,-4.03  ,-3.26  ,-8.18  ,-6.13  ,-6.95  ,-6.91  ,-6.01  ,-6.23
199407   ,0.43   ,2.26   ,2.90   ,1.94   ,2.00   ,0.68   ,2.58   ,1.48  ,-2.02   ,3.83  ,-1.92   ,2.09   ,1.70   ,4.48   ,2.45   ,4.67   ,4.30   ,3.43   ,4.42   ,1.37   ,5.10   ,6.12   ,4.86   ,8.89   ,5.88
199408  ,-1.26   ,1.09   ,2.69   ,5.89   ,2.78  ,-1.20   ,1.42   ,2.65   ,3.62   ,3.10   ,3.38   ,2.00   ,2.76   ,6.09   ,1.98   ,3.87   ,1.50   ,3.85   ,2.02   ,4.09   ,1.95   ,4.54   ,5.23   ,5.60   ,6.09
199409  ,-2.78  ,-1.63  ,-0.19  ,-1.04  ,-2.42  ,-0.62  ,-1.85  ,-3.16  ,-2.42   ,1.66  ,-1.03  ,-1.16  ,-3.94  ,-0.33   ,0.06  ,-0.94   ,0.26  ,-1.83   ,1.37   ,2.72  ,-2.10  ,-5.73  ,-3.62  ,-1.27  ,-2.04
199410  ,-2.49  ,-0.09  ,-2.33  ,-0.16  ,-1.81  ,-2.84  ,-0.76  ,-0.99  ,-0.32  ,-3.96  ,-0.08  ,-0.92   ,0.57  ,-0.14   ,0.41   ,2.52   ,1.54   ,1.29   ,0.33   ,0.94   ,0.10   ,2.83   ,1.46   ,2.69   ,1.29
199411  ,-8.38  ,-4.35  ,-5.10  ,-2.58  ,-5.69  ,-9.99  ,-7.48  ,-4.83  ,-5.35  ,-6.94  ,-7.16  ,-7.68  ,-3.50  ,-7.77  ,-9.26  ,-8.90  ,-6.25  ,-9.16  ,-6.76 ,-11.62  ,-7.72  ,-7.04  ,-9.95  ,-9.15  ,-7.86
199412  ,-5.26  ,-2.13  ,-0.72  ,-1.76   ,0.29  ,-6.67  ,-1.33  ,-3.34  ,-1.87  ,-1.14  ,-3.40   ,0.20  ,-0.07   ,0.31  ,-2.61  ,-3.60   ,0.62   ,1.18  ,-1.93  ,-0.78  ,-2.69   ,0.61  ,-1.00  ,-1.93   ,0.49
199501 ,-10.38  ,-7.85  ,-8.43  ,-6.25  ,-5.73 ,-11.33  ,-8.07  ,-5.75  ,-5.78  ,-6.36 ,-13.76  ,-6.22  ,-8.45  ,-6.74  ,-5.24  ,-9.97  ,-7.86  ,-9.62  ,-6.99  ,-6.06  ,-8.04 ,-11.93  ,-3.15  ,-4.51  ,-7.88
199502   ,1.29  ,-2.49   ,0.48  ,-3.24  ,-3.94   ,3.07   ,0.51  ,-0.22  ,-0.90  ,-0.33   ,7.73   ,1.75   ,1.89   ,2.42   ,2.18   ,8.98   ,1.87   ,1.93   ,2.44   ,1.40  ,12.47  ,15.87   ,2.89   ,3.33   ,1.67
199503  ,-1.96  ,-2.65  ,-0.55  ,-2.09  ,-0.83  ,-3.74  ,-1.74  ,-1.01  ,-1.56  ,-0.28  ,-1.07  ,-0.72  ,-1.27  ,-1.20   ,1.60  ,-1.81   ,0.29   ,0.73  ,-0.54   ,0.25   ,5.14   ,0.33   ,0.74   ,1.60   ,0.36
199504   ,0.02   ,1.58  ,-0.14   ,2.73   ,1.15  ,-1.05  ,-0.00  ,-0.74   ,2.95   ,3.64   ,0.12   ,1.09   ,2.57   ,0.96   ,2.69   ,1.59   ,3.25   ,3.33   ,2.43   ,4.91  ,-1.29   ,0.18  ,-0.52   ,1.96   ,4.29
199505  ,-1.13  ,-0.27  ,-2.11   ,0.36  ,-1.06   ,2.58   ,2.35  ,-0.36   ,0.38   ,2.67   ,3.77   ,1.38   ,3.51   ,2.09   ,3.49   ,4.96   ,2.70   ,2.45   ,5.44   ,1.92   ,2.94   ,5.96   ,8.65   ,6.45   ,2.32
199506   ,0.49  ,-0.84  ,-2.67  ,-0.41   ,1.16   ,2.48  ,-0.08   ,0.53  ,-0.81   ,0.10  ,-1.02  ,-1.24  ,-1.62  ,-1.11   ,4.49  ,-0.75  ,-2.94  ,-1.63   ,0.19  ,-2.75  ,-3.35  ,-2.55  ,-1.91  ,-2.23  ,-2.28
199507   ,8.94   ,4.82   ,5.46  ,11.27   ,6.40   ,8.21   ,6.68   ,9.40   ,5.31   ,8.01   ,6.04   ,5.95   ,9.52  ,10.43   ,7.57   ,5.34   ,6.19   ,4.54   ,2.87   ,6.28   ,4.87   ,3.54  ,10.03   ,3.73   ,4.64
199508   ,4.92   ,5.23   ,8.67   ,3.96   ,7.63   ,3.32   ,4.21   ,5.88  ,-0.44  ,-0.14   ,0.04   ,0.82  ,-1.60   ,2.61   ,2.62   ,1.34  ,-2.06  ,-0.54  ,-1.74   ,0.49  ,-4.07  ,-1.75  ,-0.49  ,-1.51  ,-3.04
199509   ,0.26   ,2.76   ,0.95   ,1.42   ,6.72   ,0.55   ,0.63   ,1.13   ,1.33   ,4.63  ,-1.02   ,0.86   ,0.93   ,2.67   ,3.08   ,2.44   ,0.90   ,1.68   ,0.71   ,3.34   ,1.43   ,2.38   ,4.95   ,1.83   ,1.33
199510  ,-2.02  ,-3.72   ,2.03   ,0.93  ,-4.74  ,-1.85  ,-2.37  ,-3.72  ,-0.86  ,-4.54  ,-1.85  ,-1.77  ,-1.04  ,-3.77  ,-1.83  ,-3.24  ,-1.82  ,-1.68  ,-2.57   ,1.02   ,2.00   ,2.45  ,-0.49  ,-0.21  ,-0.37
199511  ,-1.27   ,2.15   ,1.60   ,3.90   ,7.81  ,-2.67   ,1.13  ,-0.09   ,3.64   ,4.49  ,-2.29  ,-0.72  ,-1.60  ,-1.30   ,4.82   ,1.57   ,0.62   ,0.03   ,1.42   ,2.82   ,1.64  ,-0.03  ,-0.09   ,2.27   ,3.54
199512  ,-1.04  ,-0.88   ,2.22   ,1.01   ,0.77   ,0.40   ,0.64   ,3.29   ,4.86   ,3.01   ,0.49   ,3.93   ,1.56   ,0.96   ,4.24   ,2.48   ,2.67   ,4.97   ,4.36   ,2.59   ,4.15   ,5.74   ,4.10   ,1.10   ,5.19
199601   ,9.22   ,6.01  ,10.86   ,7.88   ,8.11  ,10.30   ,8.58   ,7.29   ,3.91   ,8.09   ,7.95   ,8.32   ,8.19   ,5.05  ,10.77   ,6.47   ,9.35   ,6.39   ,9.24   ,7.04  ,10.19   ,6.06   ,9.38   ,6.88  ,11.79
199602   ,4.33   ,2.97   ,2.70   ,3.72   ,4.72   ,1.47   ,1.55   ,3.18   ,0.43   ,4.65   ,0.91   ,1.38   ,1.92   ,1.68   ,3.91   ,2.33   ,1.31   ,4.00   ,1.75   ,1.36  ,-0.30   ,1.15   ,0.72   ,1.38  ,-2.09
199603  ,-1.20   ,0.57  ,-0.05   ,2.71   ,0.07  ,-0.96  ,-0.17   ,0.37   ,0.41  ,-0.81  ,-1.29  ,-0.21  ,-0.73   ,0.50   ,0.49  ,-1.17   ,0.12   ,0.38   ,2.03  ,-0.26  ,-3.39  ,-1.41  ,-0.72  ,-0.92   ,1.39
199604   ,3.45   ,0.91   ,2.60   ,3.58   ,2.63   ,1.50   ,2.75   ,1.48   ,1.23   ,5.59   ,0.67  ,-0.33   ,1.48   ,3.99   ,4.99   ,3.19   ,2.84   ,4.10   ,3.02   ,3.54  ,-0.22   ,2.73   ,2.27   ,2.47   ,0.41
199605   ,1.09   ,0.05   ,1.48   ,5.65   ,4.49  ,-0.84   ,2.34   ,0.72   ,1.53   ,6.50  ,-1.02  ,-0.72  ,-0.11   ,1.52   ,4.81  ,-1.44  ,-0.12  ,-2.46   ,0.01  ,-1.38  ,-2.77  ,-0.72   ,4.77   ,1.52   ,3.49
199606  ,-1.86  ,-2.98  ,-1.93  ,-1.39  ,-2.48   ,0.71  ,-0.98  ,-0.35  ,-0.51  ,-1.49  ,-1.72  ,-1.53  ,-1.37   ,0.42  ,-1.95  ,-2.11  ,-0.28  ,-0.51  ,-0.30  ,-2.26  ,-2.24  ,-0.79  ,-3.41  ,-1.52   ,0.72
199607  ,-2.60  ,-1.61  ,-3.99  ,-4.87  ,-8.51  ,-6.79  ,-2.86  ,-1.55  ,-1.22  ,-7.85  ,-4.63  ,-7.31  ,-3.38  ,-4.43  ,-7.06  ,-7.99  ,-4.14  ,-3.32  ,-3.62  ,-5.42  ,-6.81  ,-5.74  ,-4.55  ,-4.88  ,-2.80
199608   ,0.09   ,3.81   ,8.13   ,5.53   ,6.84   ,1.88   ,3.03   ,3.26   ,4.97   ,5.99   ,2.99   ,0.68   ,5.49   ,4.22  ,10.11   ,1.08   ,5.04   ,0.25   ,4.31   ,9.14   ,2.45   ,3.17   ,5.61   ,3.85   ,7.02
199609   ,1.71  ,12.73   ,2.64   ,5.82   ,0.86  ,-1.02   ,0.50   ,2.13   ,4.71   ,2.42   ,1.61   ,0.55   ,2.90   ,4.70   ,3.97  ,-1.27  ,-0.26   ,3.10   ,2.72   ,0.40   ,0.56   ,1.12   ,1.99   ,4.47   ,6.18
199610   ,6.37   ,5.22   ,3.96   ,7.90   ,6.39   ,1.64   ,0.30   ,5.14   ,7.75   ,5.19  ,-2.54   ,0.60  ,-0.00   ,3.97   ,9.49   ,0.05   ,0.81   ,2.23   ,2.81   ,3.37   ,2.15   ,0.31   ,2.49   ,4.65   ,2.19
199611   ,7.30   ,8.68   ,8.58  ,10.92   ,8.96   ,5.12   ,5.63   ,7.38   ,5.45   ,8.57   ,6.24  ,10.10   ,7.20   ,8.87   ,6.37  ,10.39   ,5.94   ,4.44   ,7.26   ,8.88   ,4.16   ,2.67   ,9.58  ,10.18   ,1.92
199612  ,-0.60   ,2.25   ,0.33   ,1.24   ,0.29  ,-0.18  ,-0.30  ,-1.49  ,-1.99   ,0.72  ,-0.44  ,-1.08   ,1.69   ,0.96  ,-1.38   ,2.00  ,-0.06   ,0.92  ,-0.46  ,-0.05  ,-0.02  ,-0.73   ,1.00  ,-0.80   ,3.75
199701   ,1.51   ,0.05  ,-1.58  ,-3.32  ,-1.49  ,-0.09  ,-1.44  ,-2.23  ,-1.36   ,3.01   ,2.78  ,-1.23  ,-0.58   ,0.24  ,-1.89  ,-2.72  ,-4.57  ,-2.15  ,-2.12   ,0.19  ,-0.65   ,0.18  ,-1.85  ,-3.78  ,-2.49
199702   ,8.20   ,4.08   ,3.21   ,6.30   ,6.01   ,4.75   ,0.79   ,3.78   ,6.12   ,6.11   ,2.03   ,3.22   ,2.48   ,0.96   ,5.21   ,3.40   ,1.30   ,1.74   ,3.88   ,2.35  ,-0.61   ,0.79   ,1.00  ,-0.14   ,5.46
199703  ,-2.30  ,-0.89   ,0.73   ,4.50  ,-0.86  ,-6.35  ,-3.45  ,-1.21  ,-3.04   ,0.09  ,-7.92  ,-2.49  ,-3.89  ,-2.17  ,-4.06  ,-6.43  ,-4.46  ,-2.85   ,0.86  ,-3.92  ,-7.52  ,-2.90  ,-3.27  ,-5.45  ,-6.39
199704  ,-1.99  ,-1.26  ,-0.34   ,1.85   ,0.05  ,-4.04  ,-1.76  ,-0.10   ,0.20   ,2.24  ,-1.19  ,-1.02  ,-1.07   ,1.02   ,3.80  ,-1.85  ,-3.30  ,-0.43   ,2.30   ,5.74  ,-0.16  ,-3.49   ,2.39   ,1.76   ,5.76
199705   ,3.32   ,0.53   ,5.41   ,6.92   ,4.88   ,2.17   ,7.51   ,1.58   ,8.07   ,5.66   ,3.35   ,1.27   ,4.85   ,5.77   ,6.37   ,3.63   ,4.30   ,1.76   ,8.38   ,5.36   ,4.16   ,9.29  ,10.11   ,9.58   ,3.66
199706  ,-5.28   ,2.10  ,-0.35  ,-0.73  ,-1.02  ,-4.48   ,0.09   ,2.60   ,0.67  ,-1.13  ,-0.81  ,-1.09  ,-0.54   ,1.98  ,-2.37  ,-3.95   ,3.34   ,4.61   ,6.96   ,4.30   ,1.46   ,2.87   ,3.48   ,5.14   ,1.93
199707  ,-0.13   ,3.73   ,2.63  ,10.60   ,4.26   ,0.56   ,7.02   ,4.57   ,8.15  ,10.45   ,0.43   ,0.71   ,0.80   ,3.80   ,7.82  ,-1.34   ,0.05  ,-1.44  ,-0.10   ,3.41  ,-0.13  ,-3.25  ,-0.29   ,6.29   ,0.66
199708  ,-3.48  ,-3.56   ,3.40   ,3.83   ,4.79  ,-3.39   ,2.76   ,5.14  ,-4.05   ,6.13  ,-7.13  ,-2.61  ,-1.08   ,1.52   ,3.74  ,-7.43  ,-4.10  ,-4.22  ,-3.98   ,6.75  ,-8.69 ,-10.60  ,-9.34 ,-13.19  ,-6.17
