Date,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
199502   ,2.87   ,0.85  ,-0.29  ,13.81   ,5.56   ,2.02
199503  ,-2.33  ,-0.76  ,-0.28   ,2.48   ,0.14   ,1.28
199504  ,-0.27   ,1.04   ,2.90  ,-0.57   ,0.59   ,3.88
199505   ,1.81  ,-0.15   ,1.92   ,5.48   ,5.61   ,4.48
199506   ,0.97  ,-0.96   ,0.26  ,-2.17  ,-2.57  ,-1.57
199507   ,7.97   ,6.65   ,7.98   ,3.82   ,7.34   ,3.42
199508   ,2.55   ,4.56   ,2.33  ,-2.03  ,-0.71  ,-2.24
199509   ,0.84   ,1.02   ,3.51   ,1.76   ,3.00   ,1.80
199510  ,-2.28  ,-1.05  ,-3.76   ,1.39  ,-0.16  ,-0.62
199511  ,-1.25   ,0.89   ,4.42   ,0.25   ,0.52   ,2.95
199512  ,-0.22   ,2.28   ,1.26   ,4.35   ,3.55   ,3.17
199601   ,9.10   ,7.32   ,7.50   ,6.86   ,7.94  ,10.72
199602   ,2.07   ,3.00   ,3.26   ,1.58   ,1.22  ,-0.93
199603  ,-1.30  ,-0.02   ,0.03  ,-1.90  ,-0.69   ,0.47
199604   ,1.94   ,1.12   ,4.25   ,1.15   ,2.93   ,1.05
199605   ,0.38   ,1.70   ,4.04  ,-1.12   ,1.24   ,3.03
199606  ,-0.87  ,-0.63  ,-1.88  ,-1.84  ,-2.18  ,-0.76
199607  ,-4.03  ,-2.75  ,-6.93  ,-6.88  ,-4.19  ,-4.89
199608   ,1.16   ,3.65   ,7.01   ,2.97   ,4.58   ,4.90
199609  ,-0.08   ,2.67   ,3.66   ,1.27   ,3.06   ,3.93
199610   ,2.12   ,3.11   ,7.14   ,0.76   ,3.46   ,2.57
199611   ,6.75   ,6.59   ,7.36   ,4.28   ,7.26   ,8.87
199612  ,-0.02  ,-0.13   ,0.58   ,0.17  ,-0.29   ,0.29
199701   ,1.31  ,-1.72   ,0.42  ,-0.37  ,-1.63  ,-4.06
199702   ,4.39   ,3.39   ,6.58   ,0.82   ,0.29   ,2.36
199703  ,-4.22  ,-1.31  ,-0.49  ,-5.59  ,-2.97  ,-5.63
199704  ,-2.60  ,-0.34   ,2.30  ,-2.84   ,0.26   ,4.29
199705   ,2.29   ,3.99   ,6.17   ,3.92  ,10.47   ,6.12
199706  ,-3.27   ,0.90  ,-1.34   ,1.58   ,3.77   ,3.36
199707   ,1.29   ,4.48   ,6.67  ,-1.25   ,0.14   ,5.66
199708  ,-3.11   ,1.35   ,4.50  ,-8.27  ,-9.42  ,-9.30
199709  ,-1.01  ,-0.50  ,-4.47   ,3.33   ,5.23   ,5.41
199710 ,-21.12 ,-18.10 ,-28.82 ,-22.52 ,-21.47 ,-22.90
199711  ,-7.77  ,-3.91  ,-4.45   ,1.29  ,-0.66  ,-2.24
199712  ,-8.73  ,-5.64  ,-4.70  ,-2.77  ,-1.54   ,2.60
199801 ,-14.09 ,-13.26 ,-14.54 ,-20.73  ,-8.98  ,-0.45
199802  ,31.82  ,17.61  ,15.17  ,30.01  ,11.53   ,3.43
199803  ,-1.72  ,-3.06  ,-0.89  ,-1.90  ,-2.03  ,-0.64
199804  ,-5.12  ,-5.18  ,-3.59  ,-8.08  ,-6.68  ,-3.05
199805 ,-15.64 ,-10.64  ,-6.09 ,-17.87 ,-13.09  ,-7.01
199806 ,-15.38  ,-9.99  ,-6.70 ,-13.32  ,-6.65  ,-0.24
199807  ,-8.74  ,-2.49  ,-1.40  ,-8.40  ,-4.49  ,-1.21
199808 ,-18.63 ,-13.09 ,-12.23 ,-13.46 ,-12.58 ,-13.07
199809   ,9.93   ,7.41   ,5.74  ,15.56  ,11.95  ,10.31
199810  ,33.69  ,13.30   ,5.36  ,51.64  ,20.33   ,6.43
199811   ,9.85   ,6.39   ,5.31  ,11.65   ,1.83   ,3.30
199812  ,-7.10  ,-0.92  ,-0.55  ,-2.64  ,-2.04  ,-2.01
199901  ,-4.06   ,1.39   ,4.07  ,-3.39  ,-2.99   ,5.02
199902  ,-1.99  ,-1.79  ,-0.65   ,0.47  ,-0.95  ,-1.42
199903   ,2.27   ,3.08   ,7.48  ,10.39  ,10.68   ,6.37
199904  ,29.94  ,17.30  ,16.99  ,25.76  ,18.25   ,8.02
199905   ,9.93   ,3.57   ,4.32  ,-5.77  ,-7.01  ,-5.55
199906  ,12.96  ,16.66  ,18.88   ,8.08   ,7.44  ,12.29
199907  ,-0.09  ,-2.30 ,-12.24   ,0.68  ,-2.48  ,-1.33
199908  ,-3.54  ,-2.71  ,-3.52  ,-4.50  ,-0.44  ,-0.57
199909   ,5.61   ,0.04   ,0.19  ,-1.32  ,-2.48  ,-2.61
199910  ,-2.10  ,-1.11   ,2.47   ,1.06   ,0.92   ,3.78
199911   ,1.37   ,2.88   ,7.30   ,5.96   ,8.94   ,8.46
199912   ,7.73   ,5.31  ,12.45   ,7.21   ,9.04  ,19.60
200001   ,2.02   ,1.26   ,1.75  ,-9.49  ,-7.11  ,-5.21
200002   ,3.96   ,2.61   ,4.73  ,-5.43   ,0.73   ,2.16
200003  ,-1.06   ,2.24  ,-0.23   ,1.82  ,-2.46   ,3.46
200004  ,-8.93  ,-8.22 ,-24.42  ,-0.44  ,-0.25 ,-13.30
200005  ,-7.66  ,-7.09 ,-11.17  ,-4.97  ,-5.05 ,-12.25
200006   ,8.35   ,8.62   ,7.82  ,11.40   ,8.95  ,14.05
200007  ,-0.31   ,0.67  ,-1.85   ,5.04  ,-1.56  ,-0.17
200008   ,2.04   ,0.93   ,0.95   ,1.69   ,3.88   ,1.75
200009 ,-11.91  ,-8.47 ,-11.36  ,-8.16  ,-5.42  ,-7.87
200010  ,-8.57  ,-5.37  ,-8.32  ,-3.87   ,1.25 ,-11.38
200011  ,-1.71   ,1.17  ,-0.25   ,2.03   ,2.91  ,-4.39
200012  ,-1.45   ,3.18  ,-1.31   ,1.65   ,7.17   ,3.80
200101   ,1.11   ,1.15   ,3.20   ,4.65   ,3.99   ,2.03
200102  ,-3.00  ,-0.95  ,-1.71  ,-6.74  ,-3.87  ,-0.93
200103 ,-15.76  ,-9.77  ,-9.15 ,-14.82 ,-14.06  ,-8.38
200104   ,6.87   ,6.62   ,7.41  ,10.24   ,7.30   ,3.04
200105   ,4.91   ,4.37   ,5.48  ,-3.71   ,2.40   ,0.10
200106  ,-0.76   ,1.40   ,3.12  ,-2.98   ,4.80   ,1.46
200107  ,-8.93  ,-2.27  ,-3.16  ,-2.75  ,-5.45  ,-0.53
200108  ,-4.53  ,-0.44   ,1.51  ,-5.83   ,1.70   ,3.91
200109 ,-19.02 ,-13.45 ,-13.03 ,-15.21 ,-14.08 ,-10.87
200110   ,9.04   ,6.05  ,11.17   ,5.58   ,4.74   ,9.01
200111   ,9.77   ,6.42   ,7.28  ,13.13   ,6.91   ,4.64
200112   ,0.40   ,0.73   ,2.28   ,5.17   ,0.66   ,0.52
200201   ,7.07   ,3.63   ,5.10   ,1.09   ,1.07   ,2.90
200202  ,-2.37   ,2.75   ,2.61  ,-7.11   ,2.50   ,1.54
200203   ,3.60   ,3.96   ,6.75   ,6.73   ,2.78   ,4.52
200204  ,-1.88   ,1.24   ,1.22   ,1.15  ,-0.32   ,1.05
200205   ,2.79   ,5.19   ,6.84  ,-1.21   ,3.80   ,6.51
200206  ,-7.84  ,-4.18  ,-3.14  ,-9.30  ,-3.23  ,-2.75
200207 ,-11.26  ,-7.18  ,-7.94  ,-5.41  ,-5.41  ,-6.98
200208  ,-0.90   ,1.09   ,3.43  ,-2.82   ,1.62   ,2.01
200209 ,-11.09  ,-6.29  ,-7.14  ,-9.40  ,-6.06  ,-5.93
200210   ,1.94   ,2.27   ,2.61   ,5.59   ,4.70   ,4.09
200211  ,-0.22   ,0.35   ,1.54   ,7.61   ,0.53   ,2.32
200212  ,-0.22   ,0.93   ,1.86  ,-7.78  ,-1.48   ,0.12
200301   ,0.90   ,3.34   ,4.37   ,1.03   ,1.40   ,3.72
200302  ,-2.11   ,0.70   ,3.04  ,-4.49  ,-0.99   ,1.29
200303  ,-4.33  ,-1.84  ,-2.24  ,-4.79   ,2.08   ,0.29
200304   ,0.57   ,1.55   ,2.69   ,4.04   ,5.01   ,5.99
200305  ,14.00   ,8.46  ,11.20   ,7.96   ,5.90   ,7.80
200306   ,2.47   ,5.33   ,7.11   ,3.67   ,3.45   ,6.31
200307  ,10.12   ,7.73  ,10.11   ,6.39   ,1.25   ,1.43
200308  ,12.86   ,7.73   ,9.02  ,10.96   ,2.81   ,5.64
200309   ,8.19   ,8.13   ,9.30   ,6.06   ,4.48   ,4.29
200310   ,5.27   ,6.17   ,6.19   ,5.24   ,7.04   ,6.65
200311   ,0.40   ,1.62  ,-0.25   ,0.38  ,-0.08   ,0.66
200312   ,3.06   ,4.69   ,5.36   ,4.12   ,6.83   ,5.58
200401   ,6.25   ,4.71   ,7.81   ,5.10   ,3.33   ,5.00
200402   ,3.96   ,3.03   ,5.26   ,2.49   ,4.57   ,4.16
200403  ,-4.54  ,-2.56  ,-3.76  ,-2.26  ,-0.25  ,-3.02
200404  ,-6.33  ,-6.58 ,-10.07  ,-3.41  ,-6.07  ,-7.66
200405  ,-3.12  ,-1.51  ,-2.03   ,0.27   ,0.12   ,1.16
200406  ,-1.97   ,0.54  ,-1.24   ,0.85   ,0.28   ,0.93
200407   ,1.38   ,2.96   ,2.34  ,-0.93   ,1.92   ,1.32
200408  ,-1.42   ,2.10   ,1.38   ,3.24   ,2.00   ,5.33
200409   ,4.81   ,6.72   ,6.79   ,3.99   ,5.42   ,8.31
200410   ,2.00   ,4.75   ,7.31   ,2.17   ,3.50   ,4.26
200411   ,6.66   ,8.28  ,13.42   ,7.18   ,7.84   ,8.73
200412   ,0.81   ,2.50   ,2.71   ,2.20   ,3.75   ,3.20
200501   ,1.72   ,2.22   ,2.47   ,0.16  ,-0.59   ,0.83
200502   ,1.30   ,2.54   ,4.72   ,3.34   ,4.86   ,4.30
200503  ,-4.28  ,-3.74  ,-4.53  ,-3.17  ,-2.87  ,-2.58
200504  ,-3.85  ,-2.66  ,-3.89   ,1.29   ,0.67  ,-2.01
200505  ,-3.09  ,-1.08  ,-3.04   ,0.82  ,-0.32  ,-0.54
200506   ,0.72   ,3.42   ,4.12   ,2.75   ,5.07   ,5.94
200507   ,2.53   ,3.88   ,1.04   ,3.61   ,4.02   ,3.66
200508  ,-0.28   ,1.93   ,5.24  ,-1.11   ,0.61   ,0.80
200509   ,4.19   ,3.38   ,3.53   ,1.30   ,4.78   ,5.82
200510  ,-4.41  ,-4.22  ,-4.32  ,-5.36  ,-5.06  ,-7.94
200511   ,1.61   ,3.52   ,1.87   ,3.04   ,3.01   ,4.43
200512   ,0.60   ,2.21   ,2.24   ,2.84   ,1.40   ,3.37
200601   ,4.86   ,6.66  ,10.90   ,4.01   ,4.94  ,11.08
200602   ,0.85   ,2.69   ,4.79  ,-0.24   ,0.58  ,-1.34
200603   ,3.43   ,5.21   ,8.20   ,0.29   ,1.25   ,5.40
200604   ,5.36   ,8.82   ,7.55   ,4.95   ,7.24   ,8.01
200605  ,-6.35  ,-5.51  ,-6.72  ,-5.05  ,-5.86  ,-4.19
200606  ,-3.60  ,-1.34  ,-2.24   ,0.23   ,0.97  ,-1.24
200607   ,2.49   ,1.81   ,4.10   ,1.34   ,1.56   ,0.73
200608   ,1.47   ,2.02   ,3.51   ,1.47   ,3.88   ,2.58
200609   ,1.35  ,-0.38   ,1.05   ,1.15   ,0.25  ,-1.10
200610   ,6.57   ,6.88   ,9.94   ,5.53   ,6.50   ,7.00
200611   ,5.21   ,5.41   ,7.67   ,3.96   ,4.52   ,7.35
200612   ,1.27   ,2.97   ,4.04   ,4.50   ,4.67   ,5.11
200701   ,4.64   ,6.22   ,7.64   ,2.31   ,1.60   ,1.31
200702   ,2.92   ,2.78   ,3.58   ,0.99   ,0.91   ,1.68
200703   ,2.92   ,7.72   ,7.89   ,5.98   ,4.16   ,6.75
200704   ,7.99   ,7.96  ,10.85   ,3.12   ,5.29   ,5.29
200705   ,8.89   ,7.79  ,10.98   ,3.75   ,2.28   ,4.00
200706   ,5.15   ,7.80   ,8.78   ,3.08   ,1.66   ,1.81
200707   ,2.85   ,4.09   ,7.61   ,2.64   ,0.20   ,2.10
200708 ,-10.83 ,-11.41 ,-16.08  ,-2.44  ,-2.08  ,-5.68
200709   ,7.30   ,7.57  ,11.43  ,11.14  ,13.67  ,18.84
200710   ,3.78   ,4.78   ,7.71   ,7.75   ,9.09  ,10.65
200711  ,-7.79  ,-6.79  ,-9.61  ,-6.54  ,-4.37  ,-7.72
200712  ,-0.92  ,-1.47  ,-1.59   ,3.79  ,-1.37  ,-2.08
200801 ,-13.93 ,-13.11 ,-19.75  ,-8.75  ,-9.02 ,-13.15
200802   ,3.55   ,3.47   ,8.74  ,-1.32   ,1.86   ,7.25
200803 ,-11.27  ,-8.21  ,-9.75  ,-3.58  ,-2.29  ,-8.75
200804   ,3.85   ,5.70   ,6.91   ,6.40   ,5.53  ,10.88
200805   ,2.71   ,3.12   ,9.38   ,2.10   ,1.58   ,5.75
200806 ,-11.01  ,-7.37  ,-6.36 ,-13.42  ,-8.83  ,-4.18
200807  ,-7.49  ,-5.71 ,-10.64  ,-2.45  ,-1.98  ,-8.05
200808 ,-11.80  ,-8.58 ,-10.16  ,-8.39  ,-6.08  ,-5.44
200809 ,-20.98 ,-15.75 ,-21.14 ,-14.08 ,-15.53 ,-20.27
200810 ,-36.27 ,-29.69 ,-30.69 ,-26.39 ,-24.85 ,-24.93
200811  ,-8.02  ,-8.73  ,-3.39  ,-8.03  ,-6.73  ,-3.78
200812  ,14.09   ,7.10   ,6.55  ,16.23   ,5.88   ,4.77
200901  ,-6.86  ,-8.33  ,-5.60  ,-8.84  ,-9.57  ,-5.80
200902  ,-3.17  ,-2.11  ,-2.05  ,-4.94  ,-4.43  ,-5.45
200903  ,13.85   ,7.06   ,5.39  ,17.95  ,14.05   ,5.23
200904  ,25.53  ,13.25   ,9.13  ,20.51  ,14.41   ,8.57
200905  ,39.25  ,26.80  ,18.72  ,26.88  ,16.96  ,11.36
200906   ,1.27  ,-0.27   ,3.37   ,2.93   ,2.05   ,1.65
200907  ,13.89  ,12.99  ,12.91  ,16.63  ,11.55  ,12.59
200908   ,7.45   ,4.47  ,-0.17   ,1.43   ,1.95   ,0.07
200909   ,9.37   ,6.51   ,8.76   ,8.88   ,8.60   ,8.97
200910   ,3.25   ,3.26   ,3.24   ,0.00   ,0.95   ,2.50
200911   ,2.37   ,3.37   ,4.02   ,2.36   ,2.36   ,3.22
200912   ,2.01   ,2.79   ,1.18   ,2.74   ,1.88   ,4.91
201001  ,-0.78  ,-1.45  ,-3.78  ,-4.62  ,-7.73  ,-7.03
201002   ,0.36  ,-0.25   ,0.56   ,1.98   ,3.10   ,3.79
201003   ,6.06   ,6.38   ,8.23   ,6.38   ,8.67   ,7.56
201004   ,4.08   ,4.04   ,3.67  ,-0.14   ,0.74   ,1.10
201005 ,-13.73 ,-14.32 ,-15.64  ,-9.06 ,-12.95 ,-15.10
201006  ,-3.57   ,0.44  ,-1.46   ,1.94   ,0.25  ,-3.98
201007   ,9.42   ,8.19   ,7.80   ,7.09  ,11.75   ,9.83
201008  ,-2.52  ,-0.34   ,0.52   ,0.03  ,-2.52   ,3.82
201009  ,14.63  ,13.63  ,14.78  ,13.46  ,13.03  ,10.87
201010   ,4.80   ,4.77   ,5.31   ,2.54   ,3.33   ,4.67
201011  ,-3.09   ,0.48   ,2.76  ,-3.18  ,-0.94   ,1.24
201012   ,8.31   ,8.71  ,10.27   ,8.14   ,5.20   ,6.59
201101  ,-0.84  ,-0.06  ,-2.18  ,-0.96  ,-1.59   ,1.21
201102  ,-2.87   ,0.25   ,2.38   ,0.98   ,0.06  ,-1.99
201103   ,0.38   ,0.80   ,1.08   ,2.42   ,2.02   ,2.34
201104   ,2.95   ,4.69   ,4.42   ,3.71   ,4.93   ,6.48
201105  ,-6.87  ,-3.98  ,-4.40  ,-5.76  ,-1.84   ,0.37
201106  ,-6.01  ,-4.14  ,-6.55  ,-3.85  ,-1.19  ,-3.00
201107   ,0.62   ,2.56   ,4.76   ,0.17   ,0.35   ,4.78
201108 ,-10.99  ,-8.02  ,-8.83  ,-7.42  ,-5.63  ,-7.59
201109 ,-16.52 ,-15.97 ,-18.18 ,-15.25 ,-14.34 ,-20.63
201110  ,12.22  ,10.52  ,12.81  ,16.10  ,14.10  ,13.30
201111  ,-8.16  ,-4.32  ,-5.32 ,-10.90  ,-6.62  ,-2.94
201112  ,-2.48  ,-1.99  ,-2.66  ,-0.17  ,-1.77  ,-0.21
201201   ,9.35   ,7.08   ,7.35  ,15.57  ,10.17   ,6.81
201202  ,11.47   ,7.09   ,7.35   ,8.44   ,3.98   ,4.15
201203  ,-5.43  ,-0.00   ,2.88  ,-2.66  ,-3.02  ,-0.24
201204  ,-2.25   ,0.01   ,0.26  ,-0.26   ,2.24   ,1.07
201205 ,-13.64  ,-9.47 ,-10.19 ,-14.48 ,-11.76  ,-8.45
201206  ,-1.12   ,1.92   ,3.08   ,2.56   ,5.38   ,6.24
201207  ,-0.32   ,1.67   ,2.90   ,1.67   ,6.59   ,6.27
201208   ,1.58   ,1.68   ,3.75  ,-0.33   ,1.38   ,1.48
201209   ,5.27   ,6.07   ,6.75   ,6.29   ,4.54   ,2.55
201210   ,1.43   ,1.30   ,1.51   ,2.38   ,1.62   ,1.99
201211  ,-3.33   ,1.43   ,2.23  ,-0.44   ,1.62   ,4.08
201212   ,5.01   ,4.12   ,4.87   ,4.13   ,2.28   ,1.94
201301   ,7.02   ,8.25   ,7.09   ,3.85   ,5.24   ,7.31
201302  ,-3.09   ,0.56   ,3.15  ,-0.56   ,2.40   ,0.30
201303  ,-4.74   ,0.40   ,1.92  ,-4.78   ,0.95   ,1.58
201304  ,-8.41   ,0.30  ,-0.17  ,-1.85   ,3.66   ,5.89
201305  ,-6.90  ,-2.20  ,-2.22  ,-4.00  ,-5.51 ,-10.71
201306  ,-9.32  ,-3.93  ,-6.51  ,-8.87  ,-5.72  ,-4.62
201307   ,6.36   ,2.80   ,5.56   ,2.34   ,3.25   ,4.76
201308   ,1.58   ,0.49   ,0.99   ,0.02  ,-1.22   ,2.46
201309   ,6.32   ,6.82   ,8.47   ,6.96   ,6.22   ,7.86
201310   ,1.88   ,2.60   ,2.24   ,1.48   ,4.15   ,4.90
201311  ,-6.03  ,-1.45   ,1.16  ,-2.67  ,-3.03   ,0.53
201312  ,-0.70   ,1.30   ,2.07  ,-1.10  ,-1.58   ,2.93
201401  ,-1.93  ,-1.21   ,0.85  ,-3.94  ,-5.70  ,-4.46
201402   ,2.50   ,3.27   ,5.88   ,5.58   ,5.40   ,6.01
201403  ,-0.14   ,1.61   ,1.24   ,2.60   ,3.12  ,-3.02
201404  ,-1.91  ,-0.01  ,-2.98   ,3.19   ,2.60  ,-1.52
201405  ,-0.89   ,1.72   ,3.01   ,2.76   ,1.35   ,1.70
201406   ,0.55   ,1.35   ,2.12  ,-0.13  ,-0.30   ,0.27
201407   ,3.90   ,3.86   ,4.05   ,2.88   ,3.89   ,2.22
201408   ,1.03   ,1.96   ,1.40   ,0.68   ,0.33  ,-3.55
201409  ,-7.51  ,-4.35  ,-5.62  ,-6.64  ,-8.72  ,-9.54
201410  ,-2.46  ,-0.26   ,0.02   ,0.95   ,4.99   ,3.23
201411  ,-4.06  ,-1.30  ,-0.31  ,-6.10  ,-1.77   ,0.03
201412  ,-6.87  ,-2.45  ,-4.55  ,-7.38  ,-2.00  ,-0.62
201501  ,-4.05  ,-0.90  ,-0.91  ,-3.51   ,1.36   ,3.40
201502   ,1.04   ,1.78   ,3.64   ,3.78   ,3.87   ,2.11
201503  ,-1.90  ,-0.95   ,4.66  ,-5.02  ,-0.28   ,1.32
201504  ,14.60  ,13.39  ,21.53   ,4.77   ,3.00   ,9.04
201505   ,2.54   ,3.94  ,12.44  ,-2.99  ,-2.63  ,-1.21
201506  ,-6.57  ,-1.36  ,-0.40  ,-6.26  ,-3.46  ,-4.90
201507  ,-7.70  ,-5.27 ,-13.37  ,-1.04  ,-1.87  ,-6.27
201508 ,-11.75  ,-8.94 ,-14.82 ,-12.35  ,-9.90  ,-9.50
201509  ,-1.51  ,-0.68   ,1.51  ,-7.17  ,-3.29  ,-1.07
201510   ,8.65   ,5.47   ,4.84   ,9.87   ,6.82   ,6.93
201511  ,-5.19   ,0.41   ,1.70  ,-2.90  ,-1.62  ,-1.69
201512  ,-0.82   ,0.97   ,2.95   ,2.40   ,0.53   ,3.79
201601 ,-12.28  ,-7.24 ,-11.24  ,-8.08  ,-8.71 ,-10.52
201602   ,2.73   ,1.43   ,1.20   ,1.36   ,0.19   ,0.33
201603  ,10.73   ,7.13   ,6.87  ,13.31  ,10.05   ,9.10
201604   ,2.21   ,3.10   ,2.41   ,2.14   ,0.68   ,0.66
201605  ,-3.42  ,-0.91  ,-0.20  ,-3.23  ,-1.49   ,0.38
201606  ,-1.62   ,0.75   ,2.32  ,-1.07   ,0.73   ,2.13
201607   ,1.14   ,1.72   ,6.67   ,6.27   ,5.67   ,7.57
201608   ,0.22   ,1.51   ,1.53   ,1.78  ,-1.07  ,-3.52
201609   ,3.68   ,3.57   ,4.44   ,3.45   ,2.98   ,0.41
201610  ,-0.03   ,0.37  ,-0.72  ,-0.55  ,-1.56  ,-3.01
201611  ,-0.42  ,-1.72  ,-3.59   ,3.13  ,-0.65  ,-2.51
201612  ,-1.31  ,-0.96  ,-1.97  ,-1.85  ,-1.53  ,-2.55
201701   ,2.88   ,5.69   ,6.31   ,5.53   ,5.70   ,8.02
201702   ,1.88   ,1.01   ,0.63   ,3.11   ,2.83   ,0.52
201703  ,-1.32   ,1.77   ,0.98   ,1.66   ,3.70   ,3.14
201704  ,-2.93   ,0.28  ,-1.88  ,-0.26   ,1.13  ,-0.18
201705  ,-1.96   ,0.40  ,-0.09   ,0.73   ,0.18  ,-0.90
201706  ,-0.62   ,0.63   ,1.24   ,2.01   ,2.18   ,1.83
201707   ,1.77   ,3.22   ,4.34   ,2.98   ,3.57   ,3.02
201708  ,-0.97   ,0.11   ,0.01   ,0.12   ,0.09   ,2.33
201709   ,1.34   ,1.93   ,1.87  ,-1.62  ,-0.80   ,1.04
201710   ,1.37   ,2.28   ,5.88   ,1.84   ,1.10   ,1.88
201711  ,-2.01   ,0.74  ,-0.77   ,1.28   ,0.74   ,2.40
201712   ,4.25   ,3.75   ,5.24   ,3.85   ,2.56   ,2.97
201801   ,3.44   ,4.91   ,4.00   ,3.00   ,4.72   ,4.41
201802  ,-4.84  ,-2.99  ,-2.78  ,-3.69  ,-3.02  ,-1.90
201803  ,-2.74  ,-0.89  ,-1.38  ,-4.26  ,-2.50  ,-3.71
201804  ,-2.26  ,-1.67  ,-2.73   ,0.58   ,2.11   ,4.45
201805   ,0.57   ,1.28   ,2.46  ,-0.31   ,1.16  ,-0.28
201806  ,-4.79  ,-4.12  ,-4.35  ,-1.21  ,-2.39  ,-4.42
201807  ,-2.08  ,-0.44  ,-0.79   ,3.30   ,1.84   ,0.18
201808  ,-3.69  ,-2.42  ,-3.63  ,-1.99  ,-2.57  ,-1.40
201809  ,-1.51  ,-0.50   ,0.69  ,-0.08   ,0.44  ,-2.67
