Date,SMALL LoPRIOR,ME1 PRIOR2,SMALL HiPRIOR,BIG LoPRIOR,ME2 PRIOR2,BIG HiPRIOR
199401   ,3.15   ,2.96   ,4.57   ,3.25   ,2.52   ,4.36
199402  ,-0.77  ,-0.27  ,-2.13  ,-2.61  ,-2.53  ,-2.40
199403  ,-4.27  ,-4.86  ,-5.91  ,-3.87  ,-4.37  ,-5.06
199404  ,-1.58  ,-0.26  ,-0.41   ,1.87   ,1.03  ,-0.29
199405   ,0.40  ,-0.42  ,-2.18   ,1.48   ,1.37  ,-0.09
199406  ,-3.73  ,-1.99  ,-4.02  ,-2.08  ,-2.80  ,-4.32
199407   ,1.21   ,1.39   ,1.89   ,3.20   ,3.73   ,2.28
199408   ,4.46   ,4.31   ,4.71   ,3.78   ,3.55   ,6.55
199409   ,0.27   ,0.40   ,1.70  ,-2.42  ,-2.20  ,-1.21
199410  ,-1.38  ,-0.52   ,0.93   ,1.59   ,2.07   ,1.37
199411  ,-4.86  ,-4.04  ,-3.89  ,-3.06  ,-3.38  ,-4.76
199412  ,-1.45   ,1.38   ,3.23   ,0.04   ,1.81   ,1.65
199501   ,0.34  ,-0.71  ,-0.25   ,2.78   ,2.42   ,1.04
199502   ,3.04   ,3.18   ,3.86   ,5.34   ,3.70   ,3.66
199503   ,2.31   ,1.93   ,2.97   ,3.34   ,2.07   ,3.18
199504   ,2.66   ,2.93   ,3.72   ,0.75   ,2.65   ,3.46
199505   ,1.64   ,2.21   ,2.11   ,4.16   ,3.76   ,3.09
199506   ,3.18   ,3.99   ,8.39   ,2.74   ,1.21   ,5.25
199507   ,4.09   ,5.11   ,8.48   ,3.23   ,3.18   ,4.86
199508   ,2.07   ,3.34   ,2.95   ,1.16   ,0.80   ,0.50
199509   ,0.59   ,1.95   ,3.25   ,2.73   ,3.81   ,4.44
199510  ,-6.86  ,-3.55  ,-4.83  ,-3.66   ,0.21   ,0.12
199511   ,1.99   ,3.63   ,4.22   ,6.26   ,4.65   ,2.92
199512   ,0.61   ,3.00   ,3.75   ,1.17   ,2.11   ,0.68
199601   ,1.17   ,1.35   ,0.84   ,1.38   ,3.31   ,3.48
199602   ,3.02   ,2.92   ,4.62   ,1.49   ,0.66   ,3.08
199603   ,2.46   ,2.30   ,2.89   ,3.14   ,1.27  ,-0.17
199604   ,6.10   ,4.17   ,8.91   ,4.28   ,1.13   ,1.97
199605   ,4.27   ,4.17   ,7.04   ,2.21   ,1.88   ,3.47
199606  ,-3.90  ,-2.92  ,-5.34  ,-1.19   ,0.44  ,-1.76
199607  ,-7.48  ,-6.50  ,-9.91  ,-5.76  ,-3.76  ,-6.23
199608   ,4.62   ,4.88   ,7.69   ,4.04   ,2.82   ,2.67
199609   ,2.10   ,3.76   ,4.76   ,4.15   ,4.92   ,6.73
199610  ,-1.70   ,1.22  ,-0.65  ,-0.90   ,2.95   ,2.86
199611   ,3.86   ,3.75   ,2.25   ,7.72   ,7.80   ,5.45
199612  ,-0.11   ,2.61   ,2.46  ,-0.10  ,-1.43  ,-2.32
199701   ,4.32   ,2.86   ,4.47   ,3.06   ,5.41   ,7.71
199702  ,-1.61   ,0.47  ,-4.16   ,0.69   ,1.61  ,-3.02
199703  ,-6.66  ,-3.56  ,-4.63  ,-5.00  ,-3.32  ,-5.44
199704  ,-3.68  ,-0.28  ,-1.24   ,0.68   ,4.56   ,7.78
199705  ,14.54   ,9.62  ,11.16  ,10.31   ,5.90   ,5.87
199706   ,3.46   ,5.95   ,6.64   ,2.84   ,3.72   ,5.13
199707   ,4.18   ,4.76   ,7.65   ,6.18   ,6.63  ,10.09
199708   ,3.47   ,2.41   ,3.75  ,-1.72  ,-4.82  ,-5.39
199709   ,7.95   ,7.86  ,10.48   ,4.60   ,4.88   ,6.78
199710  ,-5.03  ,-2.07  ,-3.88  ,-3.41  ,-2.90  ,-4.02
199711  ,-4.95  ,-1.06  ,-1.91   ,3.26   ,4.58   ,1.85
199712  ,-2.97   ,1.95   ,1.69   ,1.00   ,2.49   ,2.03
199801   ,0.08  ,-1.61  ,-1.70  ,-0.71   ,0.49   ,1.19
199802   ,7.59   ,7.73   ,7.09   ,8.25   ,6.92   ,7.82
199803   ,3.60   ,5.21   ,5.62   ,4.83   ,5.26   ,5.64
199804   ,1.77   ,1.23   ,1.67   ,0.68   ,0.48   ,2.48
199805  ,-6.47  ,-4.07  ,-5.03  ,-3.89  ,-1.87  ,-1.45
199806  ,-5.33  ,-0.76   ,1.98  ,-0.48   ,3.72   ,7.39
199807  ,-9.57  ,-6.75  ,-5.70  ,-3.07  ,-2.23  ,-0.11
199808 ,-22.40 ,-16.98 ,-21.01 ,-15.52 ,-15.21 ,-15.71
199809   ,6.37   ,4.53   ,9.39   ,9.79   ,4.75   ,6.62
199810   ,6.43   ,3.16   ,2.82   ,9.78   ,9.29   ,5.81
199811   ,4.96   ,5.00   ,8.53   ,6.44   ,5.53   ,6.48
199812   ,1.97   ,5.62   ,9.91  ,-1.16   ,4.37  ,10.49
199901   ,0.74  ,-0.74   ,5.31   ,1.12   ,0.87   ,6.78
199902  ,-6.83  ,-7.27  ,-6.77  ,-2.73  ,-1.96  ,-5.13
199903   ,1.27  ,-1.47   ,3.78   ,5.20   ,1.94   ,5.44
199904  ,10.81   ,6.14   ,7.69  ,13.00   ,7.35   ,0.06
199905   ,3.54   ,1.94   ,2.10  ,-0.41  ,-2.08  ,-2.96
199906   ,4.49   ,5.82   ,9.69  ,-0.19   ,3.51   ,8.14
199907  ,-1.70  ,-0.39  ,-0.77  ,-3.98  ,-3.96  ,-1.81
199908  ,-4.02  ,-3.01  ,-1.05  ,-2.46  ,-0.88   ,0.09
199909  ,-1.93  ,-0.89   ,2.25  ,-8.12  ,-2.24   ,0.23
199910  ,-3.16  ,-0.46   ,3.07   ,6.10   ,6.67   ,6.75
199911   ,3.24   ,2.97  ,11.79  ,-0.65  ,-0.70   ,9.35
199912   ,4.67   ,5.10  ,20.26  ,-3.29  ,-0.00  ,19.34
200001  ,-3.28  ,-1.90   ,3.81  ,-3.91  ,-4.37  ,-4.29
200002   ,1.53   ,5.75  ,32.42  ,-9.52  ,-4.26  ,18.23
200003   ,6.78   ,4.11  ,-7.40  ,11.14  ,10.76  ,-0.38
200004  ,-2.47  ,-1.02 ,-16.13   ,2.96  ,-5.04  ,-8.19
200005  ,-0.79  ,-0.15 ,-10.10   ,3.85  ,-0.80 ,-11.21
200006   ,0.95   ,2.23  ,23.08  ,-1.02  ,-0.44  ,11.73
200007   ,0.47   ,0.23  ,-9.20  ,-3.22  ,-0.18  ,-2.16
200008   ,4.67   ,7.48  ,13.30   ,5.42   ,4.08  ,13.71
200009  ,-4.62  ,-1.08  ,-4.09  ,-3.03   ,0.49 ,-12.50
200010  ,-4.46  ,-2.57  ,-8.15   ,4.04  ,-0.52  ,-7.97
200011  ,-8.92  ,-4.78 ,-16.79  ,-6.05  ,-5.88 ,-21.95
200012   ,3.64   ,8.06   ,9.61   ,0.70   ,0.80   ,4.41
200101  ,21.76   ,4.14  ,-0.23  ,16.66  ,-0.43  ,-6.02
200102 ,-12.83  ,-2.94  ,-4.56 ,-16.53  ,-6.77  ,-2.97
200103 ,-10.92  ,-2.50  ,-2.57 ,-11.65  ,-5.66  ,-3.49
200104  ,14.87   ,6.54   ,6.74  ,13.65   ,5.07   ,4.12
200105   ,4.27   ,5.07   ,4.26  ,-2.00   ,1.96   ,2.58
200106   ,2.84   ,2.18   ,3.52  ,-2.16  ,-2.40  ,-2.02
200107  ,-9.67  ,-1.87  ,-1.83  ,-3.13  ,-0.65   ,0.38
200108  ,-8.57  ,-0.98  ,-2.42  ,-9.50  ,-4.43  ,-3.12
200109 ,-22.18 ,-12.10  ,-9.43 ,-15.67  ,-4.19  ,-5.71
200110  ,14.62   ,4.88   ,4.26   ,4.02   ,1.12  ,-0.20
200111  ,15.19   ,7.44   ,5.73  ,12.40   ,5.56   ,4.56
200112   ,8.70   ,6.50   ,5.86  ,-0.64   ,2.25   ,2.62
200201  ,-5.35  ,-0.09   ,1.10  ,-2.34  ,-1.32  ,-1.22
200202  ,-7.59  ,-0.47  ,-0.81  ,-5.05  ,-0.68   ,0.79
200203  ,10.42   ,8.06   ,7.82   ,3.77   ,4.04   ,4.00
200204  ,-3.95   ,1.46   ,1.70  ,-9.56  ,-4.46  ,-0.40
200205  ,-7.25  ,-2.49  ,-1.34  ,-1.32  ,-0.47  ,-0.31
200206 ,-11.03  ,-4.57  ,-2.22  ,-9.58  ,-6.31  ,-4.85
200207 ,-16.98 ,-11.89 ,-12.40  ,-8.74  ,-6.73  ,-6.97
200208  ,-1.43   ,1.74   ,1.11  ,-0.21   ,1.54   ,1.54
200209 ,-13.48  ,-5.83  ,-4.22 ,-15.06  ,-8.42  ,-5.66
200210   ,7.89   ,2.35   ,3.80  ,11.89   ,5.88   ,4.33
200211  ,21.99   ,5.02   ,2.98  ,10.88   ,3.19  ,-1.23
200212  ,-9.97  ,-2.57  ,-0.01  ,-9.86  ,-4.11  ,-0.49
200301  ,-3.06  ,-1.65  ,-0.35  ,-2.01  ,-3.00  ,-1.36
200302  ,-4.38  ,-2.59  ,-1.14  ,-1.54  ,-1.52  ,-0.85
200303   ,0.43   ,0.11   ,1.32   ,0.25   ,1.57   ,0.98
200304  ,15.45   ,8.15   ,6.90  ,13.95   ,6.09   ,5.16
200305  ,16.42   ,8.26   ,8.17  ,10.79   ,3.73   ,5.51
200306   ,4.08   ,2.10   ,3.33   ,2.34   ,0.88   ,1.60
200307   ,6.72   ,4.81   ,6.34   ,2.46   ,1.44   ,1.65
200308   ,5.72   ,4.18   ,6.03   ,2.38   ,1.95   ,2.94
200309  ,-0.48  ,-0.39  ,-0.33  ,-0.67  ,-1.35  ,-1.19
200310   ,7.09   ,7.91  ,10.40   ,4.82   ,4.49  ,10.64
200311   ,3.51   ,3.61   ,4.24   ,0.91   ,0.64   ,3.52
200312   ,6.30   ,2.47   ,2.37   ,6.75   ,4.22   ,1.00
200401   ,2.69   ,3.34   ,6.02   ,1.61   ,1.70   ,3.04
200402   ,1.57   ,1.69   ,1.14   ,1.75   ,1.84   ,0.93
200403   ,1.00   ,1.35   ,0.33  ,-1.97  ,-0.87  ,-0.81
200404  ,-2.37  ,-3.13  ,-6.51   ,0.61  ,-2.67  ,-5.82
200405   ,0.03   ,0.83   ,1.89   ,0.71   ,1.55   ,2.64
200406   ,2.62   ,4.22   ,4.20   ,1.73   ,1.35   ,4.16
200407  ,-6.72  ,-5.05  ,-6.70  ,-2.62  ,-3.02  ,-6.62
200408  ,-0.41  ,-0.16  ,-1.81   ,0.84  ,-0.03  ,-0.36
200409   ,3.76   ,4.86   ,7.92  ,-0.02   ,1.24   ,6.20
200410   ,2.63   ,2.75   ,1.70   ,2.86   ,0.76   ,1.90
200411   ,7.83   ,8.41  ,10.10   ,2.42   ,4.52   ,6.75
200412   ,5.11   ,2.80   ,3.12   ,4.58   ,3.53   ,1.67
200501  ,-6.20  ,-3.25  ,-1.57  ,-3.59  ,-1.62  ,-1.78
200502   ,0.70   ,1.51   ,4.48   ,0.84   ,2.55   ,4.56
200503  ,-2.85  ,-1.58  ,-2.74  ,-2.43  ,-0.98  ,-0.60
200504  ,-7.23  ,-5.09  ,-6.66  ,-1.80  ,-1.60  ,-4.28
200505   ,6.15   ,5.59   ,6.16   ,3.59   ,3.09   ,4.08
200506   ,3.46   ,4.19   ,4.63  ,-0.17  ,-0.12   ,4.30
200507   ,6.93   ,5.64   ,6.97   ,3.68   ,3.64   ,5.13
200508  ,-1.68  ,-1.03   ,1.05  ,-1.55  ,-0.83   ,2.81
200509  ,-0.08   ,1.01   ,3.16  ,-0.36   ,1.36   ,4.13
200510  ,-3.86  ,-3.43  ,-4.80  ,-0.36  ,-2.23  ,-4.59
200511   ,4.54   ,4.98   ,5.70   ,3.86   ,4.28   ,4.20
200512   ,0.30   ,0.85   ,1.54  ,-0.28   ,0.28   ,1.60
200601   ,8.41   ,6.78  ,11.33   ,1.20   ,2.47   ,7.75
200602  ,-0.26   ,0.54  ,-1.77   ,0.76   ,0.72  ,-3.30
200603   ,3.09   ,4.12   ,5.20   ,1.54   ,0.69   ,2.94
200604   ,0.73   ,1.31   ,2.83   ,1.12   ,1.45   ,2.29
200605  ,-4.25  ,-3.91  ,-5.91  ,-1.41  ,-3.18  ,-5.21
200606  ,-1.95  ,-0.30  ,-2.19  ,-0.55   ,0.18   ,0.24
200607  ,-3.40  ,-1.54  ,-3.62  ,-0.61   ,1.45  ,-2.80
200608   ,4.15   ,2.66   ,1.96   ,4.21   ,2.66  ,-0.13
200609   ,0.76  ,-0.11  ,-0.87   ,3.19   ,1.61   ,1.43
200610   ,6.10   ,4.81   ,6.26   ,4.11   ,2.79   ,4.09
200611   ,2.52   ,1.81   ,2.02   ,2.92   ,1.54   ,2.42
200612  ,-0.08   ,0.95   ,0.77   ,0.58   ,1.53   ,0.82
200701   ,1.15   ,0.93   ,1.92   ,1.60   ,1.41   ,2.22
200702  ,-0.16   ,0.06   ,0.09  ,-0.55  ,-1.34  ,-2.30
200703   ,0.31   ,1.40   ,2.17   ,0.38   ,0.84   ,2.78
200704   ,2.73   ,2.49   ,4.62   ,4.89   ,4.28   ,3.97
200705   ,4.48   ,3.89   ,3.72   ,4.15   ,3.84   ,4.56
200706  ,-1.50  ,-0.33  ,-0.80  ,-1.08  ,-1.62  ,-1.07
200707  ,-6.84  ,-4.78  ,-3.64  ,-3.71  ,-2.86  ,-1.49
200708   ,0.33   ,0.11  ,-0.60   ,1.37   ,0.95   ,2.18
200709   ,0.65   ,2.30   ,6.74   ,2.31   ,4.69   ,6.47
200710   ,0.16   ,4.31   ,6.08  ,-0.57   ,3.67   ,4.54
200711  ,-8.59  ,-8.05 ,-10.11  ,-5.46  ,-3.81  ,-5.54
200712  ,-1.58   ,0.42   ,1.35  ,-4.67   ,0.34   ,2.85
200801  ,-3.98  ,-7.45 ,-11.01  ,-1.12  ,-6.04 ,-11.03
200802  ,-4.08  ,-1.07   ,0.28  ,-7.44  ,-2.23   ,2.12
200803  ,-2.34   ,0.03  ,-3.08  ,-3.44  ,-0.08  ,-1.22
200804   ,3.06   ,3.14   ,4.78   ,6.45   ,2.79   ,7.80
200805   ,4.49   ,3.45   ,6.30  ,-0.97   ,2.30   ,4.12
200806 ,-13.35  ,-7.76  ,-3.43 ,-14.66  ,-8.54  ,-2.10
200807   ,2.38   ,1.87  ,-2.47   ,3.14   ,0.34  ,-7.50
200808   ,5.42   ,2.72  ,-1.18   ,2.36   ,1.42  ,-1.29
200809 ,-10.62  ,-8.64 ,-13.64 ,-11.52  ,-5.84 ,-13.88
200810 ,-26.63 ,-21.83 ,-20.97 ,-22.08 ,-16.47 ,-16.76
200811 ,-16.72 ,-11.71  ,-9.21 ,-11.12  ,-4.92  ,-7.51
200812   ,8.69   ,5.00   ,4.07   ,2.85   ,0.82  ,-0.04
200901  ,-5.38  ,-8.05 ,-11.44  ,-8.55  ,-6.83  ,-7.71
200902 ,-12.65 ,-11.65 ,-11.76 ,-12.98  ,-9.30  ,-9.13
200903  ,14.13   ,8.59   ,6.48  ,14.10   ,9.52   ,5.61
200904  ,33.48  ,15.26   ,7.62  ,25.47   ,8.80   ,1.34
200905  ,13.73   ,5.59   ,2.62  ,13.83   ,5.88   ,3.39
200906  ,-0.97   ,1.52   ,2.18  ,-5.06   ,0.73   ,1.26
200907  ,13.68   ,9.02   ,8.04  ,10.87   ,7.37   ,6.81
200908   ,7.59   ,2.85  ,-0.35   ,6.91   ,2.40   ,1.77
200909  ,11.14   ,5.54   ,5.60   ,6.55   ,3.25   ,4.04
200910  ,-6.30  ,-4.79  ,-7.12  ,-4.02  ,-1.58  ,-2.36
200911   ,2.46   ,3.42   ,5.87   ,6.25   ,5.17   ,6.77
200912   ,7.49   ,7.19   ,8.63   ,0.27   ,3.53   ,4.30
201001  ,-1.34  ,-3.08  ,-4.33  ,-1.06  ,-4.15  ,-7.06
201002   ,3.15   ,4.39   ,6.51   ,2.03   ,3.60   ,5.65
201003   ,7.58   ,7.56   ,8.62   ,4.45   ,5.27  ,10.54
201004   ,5.55   ,5.15   ,7.02   ,1.29   ,0.71   ,3.87
201005  ,-7.48  ,-7.12  ,-8.30  ,-7.52  ,-8.05  ,-8.29
201006  ,-6.99  ,-6.07  ,-8.77  ,-4.16  ,-5.45  ,-7.38
201007   ,6.21   ,6.72   ,8.47   ,7.38   ,6.04   ,8.25
201008  ,-6.98  ,-6.79  ,-5.43  ,-4.44  ,-4.14  ,-3.90
201009  ,13.03  ,11.92  ,13.35   ,8.73   ,8.49  ,11.48
201010   ,3.88   ,4.18   ,5.06   ,3.89   ,3.39   ,4.69
201011   ,2.99   ,2.73   ,4.69  ,-0.32   ,0.23   ,2.62
201012  ,10.44   ,8.37   ,7.96   ,7.76   ,5.92   ,6.04
201101  ,-0.37   ,0.40  ,-0.01   ,2.59   ,2.11   ,1.21
201102   ,4.05   ,5.40   ,6.63   ,2.37   ,5.02   ,3.97
201103  ,-0.16   ,2.53   ,3.21  ,-0.63   ,0.81   ,0.63
201104   ,1.68   ,2.42   ,2.58   ,2.52   ,3.61   ,1.78
201105  ,-2.58  ,-1.40  ,-2.75  ,-1.14  ,-1.29  ,-2.19
201106  ,-3.79  ,-1.93  ,-2.58  ,-2.43  ,-1.76  ,-0.80
201107  ,-3.63  ,-3.21  ,-1.89  ,-2.23  ,-2.30  ,-1.77
201108  ,-9.22  ,-7.84  ,-8.64  ,-5.33  ,-4.73  ,-8.02
201109 ,-11.95 ,-10.43 ,-14.71  ,-7.39  ,-7.22 ,-11.22
201110  ,15.61  ,15.35  ,16.81  ,13.25   ,9.83  ,11.26
201111  ,-3.06   ,0.40  ,-0.31  ,-2.67   ,0.21   ,0.60
201112  ,-0.19   ,0.88  ,-0.10  ,-1.64   ,1.23   ,0.55
201201  ,10.69   ,6.15   ,6.15   ,9.93   ,3.94   ,2.72
201202   ,3.53   ,3.13   ,4.00   ,4.72   ,3.70   ,5.04
201203  ,-0.01   ,2.57   ,1.61   ,0.95   ,2.09   ,4.18
201204  ,-3.22  ,-1.14  ,-0.02  ,-2.46  ,-0.38   ,0.37
201205 ,-10.48  ,-5.82  ,-5.45 ,-11.75  ,-6.41  ,-4.20
201206   ,3.79   ,4.05   ,3.99   ,3.56   ,4.44   ,2.85
201207  ,-2.21  ,-0.11  ,-0.16   ,0.52   ,0.79   ,2.18
201208   ,5.07   ,2.92   ,3.48   ,4.18   ,3.35   ,1.13
201209   ,4.69   ,2.72   ,2.95   ,4.46   ,2.14   ,2.41
201210  ,-3.04  ,-1.65  ,-0.34  ,-0.69  ,-1.53  ,-2.50
201211   ,0.63   ,0.40   ,1.04  ,-0.46   ,0.81   ,0.96
201212   ,4.51   ,2.84   ,2.66   ,2.90   ,0.79   ,0.49
201301   ,5.37   ,5.54   ,6.34   ,5.90   ,5.78   ,3.65
201302  ,-1.19   ,0.54   ,1.10  ,-0.65   ,1.60   ,1.43
201303   ,3.48   ,4.37   ,5.71   ,3.21   ,3.17   ,4.99
201304  ,-1.93  ,-0.56   ,0.20   ,0.78   ,1.76   ,1.79
201305   ,4.64   ,3.10   ,4.22   ,2.37   ,1.99   ,2.95
201306  ,-1.87   ,0.10   ,0.12  ,-2.28  ,-0.66  ,-2.31
201307   ,7.43   ,7.22   ,7.95   ,4.99   ,5.11   ,6.87
201308  ,-2.13  ,-2.65  ,-2.38  ,-1.72  ,-2.88  ,-3.09
201309   ,4.05   ,5.28   ,7.26   ,2.26   ,3.82   ,5.63
201310   ,1.94   ,3.46   ,2.36   ,3.81   ,4.91   ,3.70
201311   ,2.28   ,4.62   ,4.83   ,1.79   ,3.12   ,3.29
201312   ,2.78   ,1.84   ,2.52   ,2.43   ,2.48   ,3.32
201401  ,-2.41  ,-3.56  ,-2.70  ,-4.76  ,-3.46  ,-1.70
201402   ,4.67   ,4.28   ,5.19   ,3.84   ,4.29   ,6.52
201403   ,0.42   ,1.60  ,-1.11   ,2.09   ,1.48  ,-2.49
201404  ,-0.99  ,-2.72  ,-4.50   ,2.75   ,0.02  ,-1.42
201405   ,0.40   ,0.88  ,-0.17   ,0.84   ,2.31   ,3.43
201406   ,5.98   ,4.93   ,6.42   ,2.24   ,2.34   ,3.44
201407  ,-5.79  ,-5.31  ,-5.81  ,-0.83  ,-2.17  ,-1.40
201408   ,3.72   ,4.28   ,5.59   ,4.16   ,3.73   ,4.43
201409  ,-6.72  ,-5.64  ,-6.46  ,-2.21  ,-2.00  ,-1.93
201410   ,3.92   ,4.57   ,1.82   ,0.51   ,3.14   ,1.09
201411  ,-0.85  ,-0.31   ,0.59   ,2.34   ,1.96   ,3.37
201412   ,0.52   ,1.89   ,2.08  ,-0.76   ,0.19  ,-0.88
201501  ,-6.96  ,-3.86  ,-1.22  ,-4.71  ,-4.45  ,-1.10
201502   ,8.48   ,6.65   ,5.69   ,7.48   ,5.48   ,5.65
201503  ,-0.89   ,1.62   ,2.46  ,-2.25  ,-1.37  ,-0.66
201504   ,3.03  ,-1.88  ,-3.87   ,5.11   ,0.99  ,-1.66
201505  ,-1.39   ,1.53   ,4.73  ,-1.92   ,1.36   ,3.52
201506  ,-1.80   ,0.89   ,1.26  ,-3.08  ,-1.99  ,-0.41
201507  ,-8.06  ,-1.06   ,1.32  ,-2.21   ,2.55   ,3.33
201508  ,-4.01  ,-4.74  ,-7.07  ,-4.92  ,-6.50  ,-6.24
201509  ,-9.55  ,-3.46  ,-5.11  ,-4.90  ,-2.02  ,-2.80
201510   ,8.60   ,4.97   ,4.30   ,7.78   ,8.46   ,5.66
201511   ,0.37   ,3.40   ,3.82  ,-0.95   ,0.68   ,0.63
201512  ,-6.89  ,-4.55  ,-4.65  ,-4.20  ,-1.87  ,-0.57
201601 ,-10.17  ,-7.12 ,-10.05  ,-4.21  ,-6.10  ,-4.96
201602   ,3.94   ,1.33  ,-1.35   ,2.36   ,0.16  ,-1.90
201603  ,12.05   ,7.21   ,6.40   ,8.90   ,6.35   ,6.23
201604   ,6.54   ,2.67   ,2.09   ,1.76   ,1.78  ,-0.88
201605  ,-0.96   ,1.92   ,1.77   ,0.12   ,1.39   ,2.24
201606  ,-2.26  ,-0.40   ,2.29  ,-3.50  ,-0.02   ,2.37
201607   ,6.52   ,5.17   ,4.83   ,6.20   ,2.89   ,3.36
201608   ,2.65   ,2.43  ,-0.74   ,2.03   ,0.73  ,-1.43
201609   ,2.37   ,0.76   ,2.05  ,-0.14   ,0.10   ,0.55
201610  ,-6.48  ,-2.95  ,-5.00  ,-0.85  ,-1.69  ,-2.43
201611  ,10.76  ,11.45   ,7.49   ,7.07   ,3.94   ,0.88
201612   ,2.34   ,2.85   ,1.42   ,1.77   ,2.16   ,0.83
201701   ,2.26   ,0.18   ,1.97   ,2.49   ,2.11   ,2.21
201702   ,2.88   ,1.44   ,0.29   ,4.15   ,3.45   ,2.24
201703   ,0.81   ,1.08  ,-0.31  ,-0.06   ,0.61  ,-0.17
201704  ,-0.47   ,1.53   ,0.01   ,0.65   ,1.19   ,0.59
201705  ,-1.75  ,-1.71  ,-2.44  ,-0.43   ,1.21   ,2.97
201706   ,3.72   ,3.26   ,3.98   ,1.14   ,0.83   ,0.38
201707   ,0.84   ,0.58   ,2.17   ,1.35   ,1.78   ,3.31
201708  ,-1.98  ,-0.85  ,-0.89  ,-1.48   ,0.48   ,1.67
201709   ,6.20   ,5.40   ,6.35   ,3.09   ,1.99   ,1.67
201710  ,-1.71   ,1.15   ,1.66  ,-1.54   ,2.65   ,4.90
201711   ,2.37   ,3.10   ,2.78   ,3.64   ,2.49   ,3.22
201712   ,1.28   ,0.23   ,0.64   ,3.34   ,1.02   ,0.17
201801   ,1.50   ,2.29   ,4.03   ,3.18   ,4.91   ,8.50
201802  ,-5.19  ,-3.99  ,-3.61  ,-7.21  ,-3.98  ,-1.51
201803   ,0.56   ,0.44   ,0.19  ,-0.84  ,-2.48  ,-2.94
201804   ,1.97   ,0.23   ,1.91  ,-0.22   ,0.38   ,0.85
201805   ,4.55   ,4.08   ,8.37   ,0.03   ,2.48   ,4.22
201806   ,1.58   ,0.07   ,1.10   ,1.93   ,0.07  ,-0.18
201807   ,1.46   ,1.55   ,1.11   ,4.56   ,3.72   ,2.31
201808   ,2.10   ,2.39   ,6.04   ,0.18   ,3.01   ,6.32
201809  ,-1.35  ,-2.50  ,-1.90   ,0.47   ,0.29   ,0.84
201810 ,-10.90  ,-9.54 ,-11.60  ,-5.48  ,-6.65  ,-9.44
